gisco_id,name,registered,turnout,invalid,blank,Fianna Fail,Fine Gael,Sinn Féin,Labour,Green/Comhaontas Glas,Renua Ireland,People Before Profit Alliance,Anti-Austerity Alliance,Non party/Independent,Direct Democracy Ireland,Non party/Fis Nua,Social Democrats,Workers',Independent Alliance (Non party),Communist Party of Ireland,National Party,Independents 4 Change,Irish Democratic Party,Irish Postmasters' Union
IE_001,Carlow Kilkenny,107023,70514,505,0,28267,19147,8700,4391,2621,2483,1582,1120,1698,0,0,0,0,0,0,0,0,0,0
IE_002,Cavan Monaghan,90618,60248,598,0,17952,18957,16126,0,1251,0,0,0,4610,754,0,0,0,0,0,0,0,0,0
IE_003,Clare,83660,57407,407,0,17580,14707,4216,4472,1700,0,0,0,13171,0,1154,0,0,0,0,0,0,0,0
IE_004,Cork East,83236,53251,445,0,12858,15038,5358,6949,806,3244,0,1999,5168,0,0,1386,0,0,0,0,0,0,0
IE_005,Cork North Central,81609,51690,516,0,14286,9105,10004,3723,1693,1120,0,8041,1783,0,0,0,1419,0,0,0,0,0,0
IE_006,Cork North West,67589,47353,395,0,16256,15106,3238,0,1354,1568,0,0,7092,0,0,0,0,2159,185,0,0,0,0
IE_007,Cork South Central,84482,56086,404,0,23141,14384,6986,2417,2064,887,795,937,1693,0,0,0,0,2378,0,0,0,0,0
IE_008,Cork South West,63583,43589,331,0,8482,13803,3656,3035,752,0,0,0,12844,0,0,0,0,0,0,686,0,0,0
IE_009,Donegal,117675,73957,654,0,22731,11243,20178,0,428,0,0,0,16817,0,70,0,0,1836,0,0,0,0,0
IE_012,Dublin Bay North,109516,74334,709,0,11367,14517,8566,5675,1024,3205,4409,2236,7523,0,0,3864,0,5878,0,0,5361,0,0
IE_013,Dublin Bay South,73066,40016,313,0,4575,11966,3774,4205,4529,4229,1728,0,2045,0,0,2652,0,0,0,0,0,0,0
IE_014,Dublin Central,45747,23990,304,0,2508,3226,5770,2092,644,330,0,721,5723,62,0,2307,303,0,0,0,0,0,0
IE_015,Dublin Fingal,93486,60850,462,0,14185,12180,5228,6009,2783,2091,0,2067,1450,0,0,0,0,2503,0,0,11892,0,0
IE_018,Dublin Mid West,69388,43550,446,0,6971,11365,9782,2146,388,0,4629,0,1999,167,0,2633,502,2522,0,0,0,0,0
IE_022,Dublin North West,60406,37472,463,0,4750,4642,10008,2750,915,0,1434,0,1120,158,0,10540,692,0,0,0,0,0,0
IE_023,Dublin Rathdown,62340,41325,226,0,4220,12573,2858,4048,4122,1055,0,0,2021,0,0,0,0,10202,0,0,0,0,0
IE_025,Dublin South Central,74942,43551,694,0,5441,6130,9971,3297,1410,893,4374,0,2305,407,0,2434,0,0,0,0,6195,0,0
IE_027,Dublin South West,105420,67918,647,0,9647,14746,9590,4378,1297,2906,0,12246,9905,359,0,0,0,2197,0,0,0,0,0
IE_028,Dublin West,64639,42272,320,0,6917,9321,6034,6445,1730,677,0,6520,1317,0,0,0,0,2991,0,0,0,0,0
IE_029,Dún Laoghaire,92248,59639,401,0,11143,21306,3167,5192,3478,1812,9775,0,0,213,0,0,0,3152,0,0,0,0,0
IE_030,Galway East,68432,45617,379,0,12364,13597,2683,4531,769,0,0,0,2358,489,0,0,0,8447,0,0,0,0,0
IE_031,Galway West,103704,64759,488,0,15629,15437,5755,3220,1588,994,0,1017,17024,152,0,3455,0,0,0,0,0,0,0
IE_032,Kerry,112751,79749,476,0,12504,16939,9458,4813,1011,716,981,0,32851,0,0,0,0,0,0,0,0,0,0
IE_036,Kildare North,77609,49226,291,0,13802,11553,3205,4087,1485,994,781,0,1920,0,0,11108,0,0,0,0,0,0,0
IE_037,Kildare South,59162,37172,386,0,13375,11101,4267,4277,836,787,0,0,2143,0,0,0,0,0,0,0,0,0,0
IE_039,Laois,63295,39220,352,0,13626,12603,8242,2856,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IE_041,Limerick,67633,44748,336,0,12276,16492,3347,0,311,0,0,0,8494,0,0,3270,0,0,0,0,0,222,0
IE_042,Limerick City,75568,47118,357,0,12999,13341,5894,5227,964,0,0,4584,332,0,0,2747,0,0,0,673,0,0,0
