gisco_id,name,registered,turnout,invalid,blank,Fianna Fail,Fine Gael,Sinn Féin,Social Democrats,Aontú,Green/Comhaontas Glas,Non party/Independent,Labour,Solidarity People Before Profit,Irish Freedom Party,Liberty Republic,Independent Ireland,National Party,The Irish People,Rabharta,Ireland First,100% Redress,Independents 4 Change,Centre Party of Ireland,Right to Change,Party for Animal Welfare
IE_001,Carlow Kilkenny,120821,70324,563,0,25075,16486,11974,3387,2378,2919,3446,1725,1465,737,169,0,0,0,0,0,0,0,0,0,0
IE_002,Cavan Monaghan,109152,69904,658,0,18715,14786,22722,0,5148,739,1149,0,967,1258,507,3078,177,0,0,0,0,0,0,0,0
IE_003,Clare,96398,61366,459,0,23047,14965,7843,2144,2099,3770,2166,0,820,1282,0,2583,0,101,87,0,0,0,0,0,0
IE_004,Cork East,83545,48326,317,0,11087,11104,6572,4791,1789,1609,9084,0,662,0,0,977,0,334,0,0,0,0,0,0,0
IE_005,Cork North Central,102250,0,0,0,11792,8526,10293,2255,0,0,0,6016,3494,0,0,5733,0,0,0,2475,0,0,0,0,0
IE_006,Cork North West,67255,43110,266,0,15725,14924,5452,0,3364,1052,540,0,838,0,0,949,0,0,0,0,0,0,0,0,0
IE_007,Cork South Central,105076,63127,423,0,23046,10149,9661,5368,2273,2156,4435,3005,876,0,0,452,858,0,425,0,0,0,0,0,0
IE_008,Cork South West,74364,47509,215,0,9115,11125,2283,9421,707,349,2220,436,349,0,0,11002,0,287,0,0,0,0,0,0,0
IE_009,Donegal,131306,77321,697,0,18316,6905,32018,0,2469,880,7654,0,606,383,0,0,0,531,0,0,6862,0,0,0,0
IE_012,Dublin Bay North,110574,66092,524,0,12363,11268,12904,9738,2460,2107,8645,2921,2046,1116,0,0,0,0,0,0,0,0,0,0,0
IE_013,Dublin Bay South,83689,39979,195,0,5536,10162,4875,3615,956,3250,4217,5684,1339,0,0,0,0,150,0,0,0,0,0,0,0
IE_014,Dublin Central,63190,33027,273,0,2344,5493,7646,4353,715,1952,4700,2465,1471,0,0,0,0,0,0,0,0,1317,298,0,0
IE_016,Dublin Fingal East,62465,38055,156,0,9846,5379,5450,4025,1549,1383,1066,5396,750,513,308,0,0,0,0,0,0,2234,0,0,0
IE_017,Dublin Fingal West,51455,30285,168,0,4417,4583,6965,0,1163,1844,3743,5044,1392,392,417,0,0,157,0,0,0,0,0,0,0
IE_018,Dublin Mid West,85769,47930,454,0,5596,8521,15215,2907,1492,637,4624,2270,2608,1435,0,1823,0,348,0,0,0,0,0,0,0
IE_022,Dublin North West,58462,33033,300,0,4463,3893,10065,4631,1367,943,2283,779,2917,0,0,0,1209,0,0,0,0,0,183,0,0
IE_023,Dublin Rathdown,80852,49000,241,0,7330,16419,3551,4277,1808,4146,6482,3043,1336,0,0,0,367,0,0,0,0,0,0,0,0
IE_025,Dublin South Central,77072,37819,475,0,3988,3056,11641,3347,1474,2267,813,2476,3331,751,0,858,0,321,114,0,0,0,0,2907,0
IE_027,Dublin South West,114832,67381,558,0,13010,12784,13900,3928,2599,1931,6352,5788,5081,0,0,0,1450,0,0,0,0,0,0,0,0
IE_028,Dublin West,78034,44593,357,0,9858,6791,9298,2168,2453,2909,3603,2455,3552,0,0,0,1149,0,0,0,0,0,0,0,0
IE_029,Dún Laoghaire,95462,55916,247,0,8831,20022,4995,4192,2376,4297,343,3169,6795,0,0,0,0,649,0,0,0,0,0,0,0
