gisco_id,name,registered,turnout,invalid,blank,FBP,VU,FL
LI_00007001,Vaduz,2364,2000,33,26,975,684,282
LI_00007003,Balzers,2411,2036,31,15,814,893,283
LI_00007006,Planken,213,196,1,5,108,46,36
LI_00007005,Schaan,2738,2362,59,14,1114,790,385
LI_00007002,Triesen,2194,1792,69,14,796,670,243
LI_00007004,Triesenberg,1579,1377,23,8,617,606,123
LI_00007007,Eschen,1936,1719,28,9,816,719,147
LI_00007009,Gamprin,736,663,12,5,380,218,48
LI_00007008,Mauren,1712,1497,34,5,839,439,180
LI_00007010,Ruggell,1039,953,19,4,498,364,68
LI_00007011,Schellenberg,506,475,6,3,279,137,50
