gisco_id,name,registered,turnout,invalid,blank,VU,FBP,FL
LI_00007001,Vaduz,2479,2031,61,6,868,903,193
LI_00007003,Balzers,2532,2146,52,16,1127,758,193
LI_00007006,Planken,244,226,6,6,81,106,27
LI_00007005,Schaan,2863,2399,70,12,1033,1019,265
LI_00007002,Triesen,2373,1914,79,5,925,740,165
LI_00007004,Triesenberg,1614,1384,36,9,728,540,71
LI_00007007,Eschen,2088,1760,53,10,911,675,111
LI_00007009,Gamprin,815,715,19,2,293,367,34
LI_00007008,Mauren,1851,1585,49,6,549,817,164
LI_00007010,Ruggell,1074,982,12,9,440,472,49
LI_00007011,Schellenberg,560,508,18,3,180,258,49
