gisco_id,name,registered,turnout,invalid,blank,FBP,VU,DU,FL
LI_00001001,Vaduz,2644,1960,33,20,721,605,299,282
LI_00001003,Balzers,2611,2069,41,15,613,760,400,240
LI_00001006,Planken,246,213,3,4,85,53,36,32
LI_00001005,Schaan,3009,2246,52,18,722,689,409,356
LI_00001002,Triesen,2578,1835,41,8,578,597,399,212
LI_00001004,Triesenberg,1726,1384,24,3,462,546,216,133
LI_00002001,Eschen,2254,1708,30,13,604,541,327,193
LI_00002003,Gamprin,881,710,18,7,299,202,141,43
LI_00002002,Mauren,2021,1512,43,10,638,403,244,174
LI_00002004,Ruggell,1224,1018,18,9,336,395,162,98
LI_00002005,Schellenberg,612,512,7,5,215,157,68,60
