gisco_id,name,registered,turnout,invalid,blank,Labour Party,"Coalition of Algirdas Brazauskas and Artūras Paulauskas ""Working for Lithuania"" ","Homeland Union (Conservatives, Political Prisoners and Deportees, Christian Democrats)","Coalition of Rolandas Paksas ""For the Order and Justice""",Liberal and Centre Union,Union of Farmers' Party and New Democracy Party,Lithuanian Poles’ Electoral Action,Christian Conservative Social Union, Lithuanian Christian Democrats,National Centre Party,Republican Party,Lithuanian Social Democratic Union,Lithuanian Freedom Union,"National Party ""Lithuania's Way""",Lithuanian National Union
LT_1013,Vilniaus (m.s.),414305,201454,4032,0,44857,33229,35479,19777,33078,7797,16054,2229,1237,1040,562,682,325,551,525
LT_LTZZIE,Ireland,287,172,2,0,18,33,51,3,47,4,3,4,2,3,0,0,0,1,1
LT_LTZZAR,Argentina,529,88,2,0,2,26,18,1,23,3,1,3,4,2,1,1,1,0,0
LT_LTZZAU,Australia,325,155,7,0,1,10,102,4,17,0,0,2,0,3,0,4,0,1,4
LT_LTZZAT,Austria,126,87,4,0,4,16,25,8,22,5,0,0,0,0,0,3,0,0,0
LT_LTZZBY,Belarus,555,200,21,0,32,40,13,21,15,37,12,0,2,1,0,4,0,1,1
LT_LTZZBE,Belgium,393,305,3,0,7,76,133,4,62,5,1,2,4,0,0,4,2,1,1
LT_LTZZBR,Brazil,265,25,3,0,2,0,11,0,2,2,0,0,1,0,0,0,1,0,3
LT_LTZZCA,Canada,407,337,8,0,2,25,239,6,31,2,0,3,0,8,0,0,2,7,4
LT_LTZZCN,China,25,20,0,0,2,6,6,0,4,1,0,0,0,0,0,0,0,0,1
LT_LTZZCO,Kolumbijos Respublikai,98,66,1,0,2,26,24,1,1,0,0,0,0,0,0,0,0,0,11
LT_LTZZDK,Denmark,326,261,1,0,46,58,75,4,55,5,0,9,3,2,0,1,0,1,1
LT_LTZZEG,Egypt,14,7,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0
LT_LTZZEE,Estonia,386,235,28,0,26,46,46,5,9,50,1,3,1,3,1,5,9,2,0
LT_LTZZFI,Finland,165,128,3,0,13,23,32,4,32,7,4,2,2,2,0,2,1,1,0
LT_LTZZFR,France,279,183,3,0,3,31,92,0,37,1,1,2,5,4,0,1,0,1,2
LT_LTZZGE,Georgia,13,13,0,0,0,1,4,3,4,1,0,0,0,0,0,0,0,0,0
LT_LTZZDE,Germany,1287,822,19,0,84,172,228,25,151,54,1,15,14,18,4,11,12,11,3
LT_LTZZGB,United Kingdom,1125,572,10,0,26,113,186,12,161,16,2,9,9,14,5,1,2,3,3
LT_LTZZGR,Greece,108,52,0,0,9,17,14,1,7,1,0,0,0,1,0,2,0,0,0
LT_LTZZIL,Israel,182,113,4,0,18,41,14,7,8,8,0,1,0,2,3,3,0,2,2
LT_LTZZIT,Italy,202,134,2,0,3,25,56,4,31,8,0,0,5,0,0,0,0,0,0
LT_LTZZJP,Japan,81,43,2,0,3,6,18,5,7,1,0,0,0,0,1,0,0,0,0
LT_LTZZKZ,Kazakhstan,78,45,4,0,5,4,6,1,9,8,0,1,1,0,0,3,0,2,1
LT_LTZZLV,Latvia,531,437,21,0,83,90,61,49,37,53,9,6,5,4,3,5,8,2,1
LT_LTZZNO,Norway,295,160,1,0,9,32,57,5,35,9,0,3,3,4,0,1,0,1,0
LT_LTZZPL,Poland,348,172,7,0,6,39,69,2,18,3,18,1,1,3,0,0,2,0,3
LT_LTZZPT,Portugal,112,46,3,0,9,9,3,2,10,3,0,1,0,3,0,0,3,0,0
LT_LTZZRU,Russia,1594,697,31,0,101,170,99,47,63,112,6,12,5,14,5,6,17,4,5
LT_LTZZES,Spain,620,189,3,0,29,37,50,9,25,23,0,5,1,1,1,0,2,2,1
LT_LTZZSE,Sweden,379,252,3,0,15,59,86,3,60,6,2,3,4,5,2,3,0,1,0
LT_LTZZCH,Switzerland,253,168,1,0,8,27,75,0,34,9,1,1,1,4,1,2,2,2,0
LT_LTZZCZ,Czech Republic,73,45,0,0,1,13,8,3,11,5,0,0,2,2,0,0,0,0,0
LT_LTZZNL,Netherlands,158,105,3,0,9,24,26,1,25,3,1,4,2,4,0,0,1,0,2
LT_LTZZTR,Turkey,19,6,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0
LT_LTZZUA,Ukraine,389,140,8,0,18,36,19,9,17,17,1,1,2,1,1,2,5,2,1
LT_LTZZUS,United States,4776,2770,49,0,75,371,1447,83,438,58,9,31,50,62,11,13,9,6,58
LT_LTZZUY,Urugvajaus,82,27,0,0,0,16,3,1,1,1,0,0,2,0,1,0,0,2,0
LT_LTZZVE,Venesueloje,52,22,0,0,0,3,15,0,0,0,1,2,0,0,0,1,0,0,0
LT_LTZZHU,Hungary,43,14,0,0,0,4,7,0,2,0,0,0,1,0,0,0,0,0,0
LT_0219,Kauno (m.s.),281055,135810,3405,0,32614,27924,30347,10545,16313,6896,512,2660,1806,743,485,413,448,347,352
LT_0321,Klaipėdos (m.s.),142604,58834,1791,0,16644,9265,7404,7012,7498,4508,1792,1291,406,368,206,140,200,223,86
LT_0325,Palangos (m.s.),13624,6741,181,0,1718,1259,1103,900,863,322,29,164,50,69,22,14,16,26,5
LT_0323,Neringos (s.),1482,883,35,0,364,132,93,100,72,32,3,16,16,7,6,2,3,2,0
LT_0629,Šiaulių (m.s.),98663,45076,1176,0,12829,9905,5475,5748,4374,3102,153,728,244,453,517,95,107,90,80
LT_0691,Šiaulių,39702,15981,425,0,4773,2679,1545,2487,966,2376,14,276,119,124,74,18,46,25,34
LT_0527,Panevėžio (m.s.),88062,42878,869,0,11066,9097,7690,4622,3907,2545,58,1201,1059,222,143,94,182,91,32
LT_0566,Panevėžio,36336,16818,462,0,5123,3238,2293,1599,1076,1737,17,402,597,84,61,47,46,24,12
LT_0418,Marijampolės (s.),53624,21650,518,0,6022,5237,3151,2709,1450,1429,9,319,391,79,64,169,54,31,18
LT_0111,Alytaus (m.s.),52424,22830,661,0,6242,6849,2918,2291,1848,1054,15,225,310,92,52,42,63,46,122
LT_0355,Klaipėdos,36898,15391,566,0,4147,2744,1763,2385,1253,1422,15,429,374,97,67,23,52,36,18
LT_0388,Šilutės,41398,17314,645,0,4405,4932,2063,1504,1459,1406,22,430,134,87,66,69,52,27,13
LT_0763,Pagėgių (s.),9335,3948,168,0,1010,1137,241,786,205,237,1,59,33,13,16,14,17,10,1
LT_0787,Šilalės,23463,10038,427,0,2486,3250,1320,911,468,526,13,292,127,52,23,98,23,13,9
LT_LTYY99,/Silales - Silutes/Voting by mail (region district),2,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LT_0777,Tauragės,40430,16704,454,0,4084,4034,2555,1888,1287,1304,8,690,136,66,44,29,102,13,10
LT_0868,Plungės,32877,15058,449,0,4310,2169,1818,2585,1038,1381,8,892,218,46,29,22,47,26,20
LT_0874,Rietavo (s.),7931,3881,121,0,1508,618,402,414,176,319,3,119,150,14,8,10,14,1,4
