gisco_id,name,registered,turnout,invalid,blank,"Taikos koalicija (Darbo partija, Lietuvos krikščioniškosios demokratijos partija, Žemaičių partija)",Demokratų sąjunga „Vardan Lietuvos“,Laisvės partija,Liberalų sąjūdis,Lietuvos lenkų rinkimų akcija-Krikščioniškų šeimų sąjunga,Lietuvos liaudies partija,Lietuvos regionų partija,Lietuvos socialdemokratų partija,Lietuvos valstiečių ir žaliųjų sąjunga,Lietuvos žaliųjų partija,Nacionalinis susivienijimas,Partija „Laisvė ir teisingumas“,"Tautos ir teisingumo sąjunga (centristai, tautininkai)",Tėvynės sąjunga-Lietuvos krikščionys demokratai,Politinė partija „Nemuno Aušra“
LT_47,Joniškio rajono savivaldybė,33943,17405,435,0,347,962,343,1441,19,381,161,5434,2362,268,176,44,226,1438,3368
LT_33,Alytaus rajono savivaldybė,66075,33455,901,0,568,5292,936,1797,56,564,597,8900,2256,428,717,102,479,4911,4951
LT_LTZZIE,Ireland,3396,2069,48,0,4,6,8,8,0,7,2,22,8,2,2,3,8,15,14
LT_LTZZAM,Armenia,15,13,1,0,0,1,1,3,0,0,0,0,0,1,1,0,0,5,0
LT_LTZZAU,Australia,665,379,6,0,1,2,20,13,0,1,0,3,8,5,2,1,1,44,1
LT_LTZZAT,Austria,406,302,3,0,0,1,4,2,0,0,0,0,0,4,0,0,0,5,0
LT_LTZZAZ,Azerbaijan,20,19,0,0,0,0,2,4,0,1,1,3,1,0,1,0,0,5,1
LT_LTZZBY,Belarus,48,35,1,0,5,4,1,2,3,9,0,1,0,0,0,0,0,5,4
LT_LTZZBE,Belgium,1938,1578,8,0,0,3,11,14,0,1,0,4,10,3,4,0,1,34,2
LT_LTZZDK,Denmark,1943,1268,21,0,1,1,20,11,0,2,0,7,5,11,3,0,2,60,7
LT_LTZZEG,Egypt,54,30,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
LT_LTZZEE,Estonia,189,141,1,0,2,1,32,19,2,4,2,8,6,5,4,1,1,50,3
LT_LTZZGR,Greece,298,184,0,0,2,1,4,1,1,0,0,4,4,0,3,0,0,5,0
LT_LTZZIN,India,19,18,0,0,0,1,5,4,0,0,0,0,0,0,1,0,0,7,0
LT_LTZZES,Spain,1484,994,11,0,0,4,18,7,0,0,0,4,1,7,0,1,2,28,2
LT_LTZZIT,Italy,763,453,3,0,0,1,6,6,0,0,0,1,4,0,2,0,0,14,2
LT_LTZZIL,Israel,241,75,3,0,0,0,2,1,0,0,0,2,0,0,2,2,0,1,0
LT_LTZZJP,Japan,213,178,2,0,1,0,5,1,0,0,0,0,1,4,1,0,0,7,0
LT_LTZZAE,United Arab Emirates,204,73,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
