gisco_id,name,registered,turnout,invalid,blank,KPL - d'KOMMUNISTEN,déi gréng,ADR - Alternativ Demokratesch Reformpartei,LSAP - D'SOZIALISTEN,DP,déi Lénk,CSV - Chrëschtlech Sozial Vollekspartei,BIERGERLESCHT
LU_0201,Bascharage,4155,3799,211,418,54,298,231,841,324,106,1275,36
LU_1101,Beaufort,907,830,81,41,11,86,84,105,85,26,307,0
LU_1102,Bech,666,575,26,32,4,75,42,107,63,4,218,0
LU_0802,Beckerich,1232,1126,85,74,8,250,99,117,98,29,355,7
LU_1103,Berdorf,770,706,39,36,8,89,75,141,78,18,219,0
LU_0401,Bertrange,2576,2294,147,184,21,241,73,289,504,51,781,0
LU_0301,Bettembourg,4887,4412,252,426,61,412,288,1179,315,108,1330,39
LU_0702,Bettendorf,1142,1081,57,78,13,114,82,155,160,26,388,5
LU_1201,Betzdorf,1543,1478,65,91,12,236,98,171,186,33,582,0
LU_0502,Bissen,1310,1240,94,120,9,126,84,175,152,25,451,0
LU_1202,Biwer,928,876,67,45,4,107,77,135,101,20,316,0
LU_0503,Boevange,1212,1148,82,108,12,129,90,173,144,33,374,0
LU_0901,Boulaide,559,525,43,25,6,45,48,58,114,6,177,0
LU_0703,Bourscheid,769,699,47,41,5,61,44,81,141,22,247,5
LU_1300,Bous,768,730,56,44,9,105,49,61,77,12,316,0
LU_1301,Burmerange,570,547,38,21,6,80,49,75,64,21,190,0
LU_0202,Clemency,1263,1190,66,118,20,94,87,227,141,29,392,11
LU_0603,Clervaux,1073,933,48,46,2,116,87,79,213,11,323,5
LU_0501,Colmar-Berg,878,847,56,124,4,79,57,182,98,17,228,0
LU_1104,Consdorf,970,903,51,36,11,106,88,157,100,19,332,0
LU_0604,Consthum,294,275,12,16,2,15,37,47,40,1,100,1
LU_0402,Contern,1763,1669,73,172,8,183,82,268,270,39,570,0
LU_1302,Dalheim,1023,962,57,45,2,160,88,109,118,32,348,0
LU_0704,Diekirch,2763,2494,157,131,19,185,153,581,350,30,869,15
LU_0302,Differdange,7838,7018,655,739,191,564,458,1405,1016,189,1696,100
LU_0203,Dippach,1819,1714,91,255,20,140,104,260,173,57,597,12
LU_0303,Dudelange,9148,8352,575,781,108,711,499,2928,412,274,1943,116
LU_1105,Echternach,2408,2035,161,88,13,244,117,374,274,40,720,0
LU_0805,Ell,521,514,31,33,7,99,60,39,69,8,160,4
LU_0705,Ermsdorf,524,499,35,19,4,47,46,44,89,10,199,1
LU_0706,Erpeldange,1217,1217,82,85,3,108,73,155,280,22,396,9
LU_0304,Esch-sur-Alzette,11204,9756,851,942,282,662,575,2247,639,582,2687,285
LU_0902,Esch-sur-Sûre,149,135,7,9,1,9,18,20,23,4,39,0
LU_0903,Eschweiler,486,460,38,31,4,37,35,89,48,9,159,6
LU_0707,Ettelbruck,3348,3044,219,150,24,293,219,611,402,39,1052,31
LU_0708,Feulen,870,839,37,60,13,54,74,114,212,6,260,5
LU_0504,Fischbach,454,423,38,53,3,44,37,35,61,6,141,0
LU_1203,Flaxweiler,1001,952,52,46,5,122,89,104,131,12,387,0
LU_0305,Frisange,1958,1844,104,253,18,162,257,296,132,68,531,20
