gisco_id,name,registered,turnout,invalid,blank,LSAP,DP,déi gréng,CSV,déi Lénk,ADR,PIRATEN,FOKUS.,VOLT,KPL,LIBERTÉ-FRÄIHEET !,déi Konservativ
LU_1001,Beaufort,1387,1223,64,110,182,207,71,246,26,152,85,30,4,4,37,0
LU_1002,Bech,817,755,21,33,92,141,65,231,33,60,23,38,2,1,9,0
LU_0701,Beckerich,1646,1505,40,91,162,203,160,426,37,176,137,34,0,0,30,4
LU_1003,Berdorf,1055,983,38,71,220,165,47,203,22,125,39,27,1,5,16,0
LU_0301,Bertrange,3379,2809,97,228,243,746,265,746,67,141,148,70,0,21,32,0
LU_0201,Bettembourg,5592,4883,188,428,1089,571,387,1161,159,426,256,117,17,25,45,9
LU_0601,Bettendorf,1523,1377,60,118,171,190,83,393,46,127,116,55,0,0,6,6
LU_1101,Betzdorf,2169,1907,57,90,303,382,214,553,52,133,46,44,3,5,21,0
LU_0402,Bissen,1851,1624,72,219,255,243,92,411,37,104,121,45,0,3,16,0
LU_1102,Biwer,1096,993,36,57,144,199,55,277,19,101,45,29,4,1,20,0
LU_0801,Boulaide,866,792,29,57,139,109,29,203,20,105,52,26,0,0,16,3
LU_0602,Bourscheid,934,850,27,51,95,142,53,269,24,89,53,23,0,0,18,1
LU_1209,Bous-Waldbredimus,1739,1600,53,93,225,291,119,482,36,150,77,40,4,12,11,0
LU_0501,Clervaux,3171,2806,96,216,283,438,138,880,67,356,184,79,0,0,49,15
LU_0401,Colmar-Berg,1141,1053,55,164,98,132,70,229,36,80,114,48,0,4,19,0
LU_1004,Consdorf,1217,1086,41,55,147,220,77,294,26,127,57,14,1,3,20,0
LU_0302,Contern,2297,1974,46,182,193,411,176,638,40,109,106,52,0,2,13,0
LU_1202,Dalheim,1328,1196,50,75,176,222,78,292,38,132,85,20,0,6,17,0
LU_0603,Diekirch,3538,2961,138,203,583,432,211,856,78,190,181,68,0,0,15,2
LU_0202,Differdange,11133,9678,630,1230,2103,1315,390,1696,346,936,595,135,25,156,69,45
LU_0101,Dippach,2413,2154,89,243,352,349,135,578,55,161,106,46,3,12,15,5
LU_0203,Dudelange,10983,9756,468,1086,2768,807,693,1862,386,840,498,153,34,52,84,20
LU_1005,Echternach,2594,2156,85,140,342,565,180,496,51,138,83,37,4,5,25,0
LU_0703,Ell,922,870,27,72,99,133,54,240,15,109,70,30,0,0,13,3
LU_0604,Erpeldange,1477,1300,24,84,153,224,108,441,31,111,62,47,0,0,9,1
LU_0204,Esch-sur-Alzette,13159,11038,769,1367,2231,1225,609,2246,650,899,554,213,32,125,80,30
LU_0802,Esch-sur-Sûre,1702,1557,67,117,188,190,113,488,37,179,104,43,0,0,21,5
LU_0605,Ettelbruck,4321,3597,195,253,618,592,266,912,94,300,218,75,0,0,56,12
LU_0606,Feulen,1369,1279,49,120,182,223,65,389,28,98,64,33,0,0,20,3
LU_0404,Fischbach,679,645,25,68,66,128,54,170,11,50,42,21,0,0,5,0
LU_1103,Flaxweiler,1253,1152,40,64,172,194,96,385,20,91,53,21,2,1,10,0
LU_0205,Frisange,2589,2317,72,183,388,294,135,668,66,273,149,41,5,7,26,5
LU_0102,Garnich,1319,1237,34,136,190,175,69,373,45,99,49,41,3,10,6,1
LU_0804,Goesdorf,1041,984,38,93,117,113,48,301,21,126,88,22,0,0,9,3
LU_1104,Grevenmacher,2580,2226,94,127,389,461,129,667,41,169,84,32,3,13,12,0
LU_0711,Groussbus-Wal,1387,1291,45,87,141,245,80,407,16,125,89,44,0,0,7,1
LU_0103,Habscht,2698,2434,87,265,347,339,155,711,79,221,119,62,8,7,16,10
LU_0405,Heffingen,825,764,31,90,74,119,58,204,18,57,45,50,0,0,12,0
LU_0403,Helperknapp,2774,2592,81,259,289,396,220,735,63,233,200,61,0,6,44,0
LU_0303,Hesperange,6294,5285,193,450,490,1052,517,1678,143,278,300,104,0,14,62,0
LU_1105,Junglinster,4397,3914,85,165,528,991,343,1105,115,274,144,79,13,11,56,0
LU_0104,Käerjeng,6290,5568,167,573,1046,655,296,1559,147,571,338,106,12,37,33,21
LU_0206,Kayl,5065,4499,228,552,963,441,218,1027,131,487,277,84,11,35,27,12
LU_0105,Kehlen,3472,2910,103,141,457,488,259,893,83,242,135,67,8,7,16,5
LU_0805,Kiischpelt,697,644,23,49,70,80,35,178,22,103,47,18,0,0,10,5
LU_0106,Koerich,1440,1320,48,136,226,174,103,350,49,92,75,44,2,5,8,2
LU_0107,Kopstal,1766,1472,53,77,162,293,136,476,50,99,68,25,5,8,9,5
LU_0806,Lac de la Haute-Sûre,1238,1139,36,86,146,143,51,403,17,131,77,19,0,0,19,5
LU_0406,Larochette,838,758,45,95,86,160,46,154,30,50,49,18,0,4,15,0
LU_1203,Lenningen,1191,1037,32,54,158,223,73,300,24,82,43,27,3,3,10,0
LU_0207,Leudelange,1295,1142,42,124,126,233,97,324,26,74,58,15,1,4,11,1
LU_0407,Lintgen,1631,1496,61,167,221,250,136,328,51,109,106,31,0,10,20,0
LU_0408,Lorentzweiler,2216,1894,71,182,263,322,170,466,65,121,130,53,0,8,39,0
LU_0304,Luxembourg,33759,27175,1371,2221,2525,6557,3075,6578,1093,1432,1401,547,0,116,254,0
LU_0108,Mamer,4301,3755,121,293,530,587,359,1245,118,221,155,72,15,7,23,5
LU_1106,Manternach,1355,1197,41,70,205,199,79,345,25,113,34,48,0,0,34,0
LU_0409,Mersch,5161,4526,202,472,475,873,388,1117,189,296,311,120,0,10,66,0
LU_1107,Mertert,2643,2339,104,160,571,330,107,586,42,183,130,78,4,6,32,0
LU_0607,Mertzig,1327,1209,54,106,134,244,77,320,28,114,87,16,0,0,24,2
LU_0208,Mondercange,4187,3717,112,339,681,464,223,1152,131,290,205,62,6,17,27,4
LU_1204,Mondorf-les-Bains,2646,2188,85,149,284,691,92,515,51,161,88,25,4,8,30,0
LU_0305,Niederanven,3166,2622,72,171,298,622,263,795,82,107,106,70,0,9,21,0
LU_0410,Nommern,920,859,22,80,94,150,70,214,41,76,59,32,0,2,15,0
LU_0503,Parc Hosingen,2362,2190,100,190,283,338,95,579,44,288,155,89,0,0,20,4
LU_0209,Pétange,8588,7565,458,1012,1472,846,328,1436,222,665,799,119,23,58,60,61
LU_0702,Preizerdaul,1113,1035,15,78,118,180,83,292,23,86,94,38,0,0,21,3
LU_0902,Putscheid,678,634,25,41,67,87,38,210,15,66,41,32,0,0,6,2
LU_0704,Rambrouch,2544,2308,102,157,304,330,110,723,60,262,169,34,0,0,47,6
LU_0210,Reckange-sur-Mess,1714,1538,30,155,261,213,110,454,44,126,67,44,5,10,11,2
LU_0706,Redange-sur-Attert,1829,1621,53,93,185,230,95,542,45,159,135,52,0,0,25,3
LU_0608,Reisdorf,661,599,38,43,70,97,30,170,13,74,38,16,0,0,6,0
LU_1205,Remich,1866,1535,53,102,236,323,117,389,24,136,98,30,5,2,15,0
LU_0211,Roeser,3328,2870,103,192,636,417,203,774,88,230,134,39,3,14,24,7
LU_1006,Rosport-Mompach,2153,2008,65,120,306,323,114,697,38,168,91,41,3,9,26,0
LU_0212,Rumelange,2541,2314,169,289,616,208,73,425,55,226,121,47,7,49,14,9
LU_0707,Saeul,550,522,6,22,63,70,54,166,19,57,38,13,0,0,8,2
LU_0306,Sandweiler,1664,1418,70,120,151,308,136,332,49,89,74,56,0,2,27,0
LU_0213,Sanem,9499,8458,431,945,1926,765,415,1875,384,842,524,163,18,67,65,31
LU_1206,Schengen,2956,2673,80,153,455,602,145,692,52,246,121,72,4,14,33,0
LU_0609,Schieren,1127,1044,41,94,115,268,65,261,27,65,70,26,0,0,6,1
LU_0214,Schifflange,5550,4825,234,560,1094,476,257,1084,196,444,288,91,19,39,30,8
LU_0307,Schuttrange,1944,1665,56,107,179,419,201,408,44,84,94,46,0,2,20,0
LU_1207,Stadtbredimus,1128,1003,24,53,128,174,72,314,16,118,57,24,0,1,17,0
LU_0110,Steinfort,2962,2650,74,267,633,332,192,633,84,217,145,30,8,10,16,2
LU_0308,Steinsel,2819,2462,66,203,347,541,228,655,77,123,119,52,0,17,30,0
LU_0309,Strassen,3423,2870,114,204,282,773,258,807,72,134,125,55,0,16,26,0
LU_0901,Tandel,1222,1138,35,86,151,186,72,356,19,101,64,57,0,0,6,0
LU_0504,Troisvierges,1570,1403,66,127,137,279,61,403,23,158,75,32,0,0,19,18
LU_0708,Useldange,1276,1180,50,79,123,169,83,355,28,146,92,30,0,0,19,2
