gisco_id,name,registered,turnout,invalid,blank,"""Latvijas Krievu savienība""",Jaunā konservatīvā partija,Rīcības partija,"Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""","""PROGRESĪVIE""","""Latvijas centriskā partija""","""LSDSP/KDS/GKL""",No sirds Latvijai,"""Saskaņa"" sociāldemokrātiskā partija",Attīstībai/Par!,Latvijas Reģionu Apvienība,"""Latviešu Nacionālisti""",Jaunā VIENOTĪBA,Par Alternatīvu,"Politiskā partija ""KPV LV""",Zaļo un Zemnieku savienība
LV_0010000,Rīga,414331,262005,1436,0,10795,31888,259,24533,8006,203,362,1836,86208,34356,5444,1024,16693,1227,24554,13181
LV_LVZZ99,Ārzemes,134806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV_LVZZBR,Brazīlija,0,56,0,0,0,15,0,22,2,0,0,0,0,3,0,0,6,0,1,7
LV_LVZZUS,Amerikas Savienotās Valstis,0,2423,29,0,15,468,0,321,106,0,1,2,37,545,19,12,594,2,184,88
LV_LVZZIN,Indija,0,17,0,0,0,0,0,2,0,0,0,0,0,10,0,0,2,0,1,2
LV_LVZZIE,Īrija,0,1961,9,0,24,246,2,114,51,2,5,9,135,113,60,11,55,2,1089,34
LV_LVZZGB,Apvienotā Karaliste,0,10803,160,0,144,1005,5,517,572,11,13,59,612,1112,199,36,415,18,5681,244
LV_LVZZAU,Austrālija,0,878,1,0,2,120,0,224,18,0,1,0,7,167,4,7,255,0,50,22
LV_LVZZAT,Austrija,0,304,1,0,4,39,0,39,26,0,0,2,19,55,11,4,42,0,51,11
LV_LVZZBY,Baltkrievija,0,81,0,0,2,9,0,7,1,0,0,0,22,14,3,0,14,0,4,5
LV_LVZZBE,Belģija,0,790,0,0,10,106,0,66,80,0,0,2,41,211,11,1,180,0,48,34
LV_LVZZCZ,Čehija,0,124,1,0,3,18,0,10,10,0,0,1,12,27,2,1,9,0,24,6
LV_LVZZDK,Dānija,0,1118,1,0,16,125,2,62,89,0,1,6,60,211,25,3,53,0,454,10
LV_LVZZFR,Francija,0,352,3,0,4,52,0,36,37,0,0,3,28,93,4,2,43,1,33,13
LV_LVZZGR,Grieķija,0,102,0,0,1,19,0,9,7,0,0,0,10,35,0,0,13,0,2,6
LV_LVZZEE,Igaunija,0,302,2,0,2,47,0,20,28,0,0,1,39,76,4,1,32,0,38,12
LV_LVZZIT,Itālija,0,257,0,0,1,52,0,29,16,0,0,4,22,63,4,1,34,0,18,13
LV_LVZZIL,Izraēla,0,62,0,0,4,4,0,2,1,0,0,0,16,9,7,0,13,0,5,1
LV_LVZZJP,Japāna,0,24,1,0,0,4,0,1,4,0,0,0,1,4,0,0,6,0,2,1
LV_LVZZCA,Kanāda,0,706,2,0,3,105,0,117,28,0,0,3,20,150,6,1,190,0,65,16
LV_LVZZRU,Krievija,0,479,1,0,57,28,2,23,18,3,1,4,218,44,7,2,24,2,26,19
LV_LVZZLT,Lietuva,0,240,2,0,2,35,0,42,11,1,0,2,21,54,5,2,24,0,27,12
LV_LVZZNL,Nīderlande,0,938,4,0,10,78,3,45,95,1,1,4,57,190,18,0,70,1,340,21
LV_LVZZNO,Norvēģija,0,1934,6,0,15,281,2,118,98,1,2,12,80,193,56,3,84,3,934,46
LV_LVZZPL,Polija,0,132,0,0,1,24,0,16,9,0,2,0,13,27,0,0,15,1,20,4
LV_LVZZPT,Portugāle,0,153,0,0,0,25,0,13,17,0,0,0,1,46,3,1,20,0,13,14
LV_LVZZES,Spānija,0,264,0,0,1,26,0,18,24,0,1,2,33,75,3,1,35,1,32,12
LV_LVZZFI,Somija,0,361,3,0,3,39,2,33,30,0,1,1,16,72,8,1,20,0,125,7
LV_LVZZCH,Šveice,0,482,4,0,8,53,0,25,40,1,0,2,63,121,10,0,60,1,81,13
