gisco_id,name,registered,turnout,invalid,blank,Jaunā VIENOTĪBA,"""Latvijas Krievu savienība""",Zaļo un Zemnieku savienība,TAUTAS KALPI LATVIJAI,"""SUVERĒNĀ VARA""","""Kristīgi Progresīvā Partija""","""Saskaņa"" sociāldemokrātiskā partija","Politiskā partija ""Stabilitātei!""","Politiskā partija ""Tautas varas spēks""","Partija ""Vienoti Latvijai""","Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",LATVIJA PIRMAJĀ VIETĀ,Konservatīvie,"Politiskā partija ""KATRAM UN KATRAI""","""PROGRESĪVIE""",Attīstībai/Par!,"""Apvienība Latvijai""","""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""","Politiskā partija ""Republika"""
LV_0001000,Rīga,403248,272379,487,0,54601,13529,14883,2209,14275,428,19047,25408,4139,351,19401,24332,7356,12075,23290,10233,802,18800,4064
LV_LVZZ99,Ārzemes,162049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LV_LVZZBR,Brazīlija,0,40,0,0,19,0,0,0,0,0,0,0,0,0,9,1,4,0,3,0,0,4,0
LV_LVZZUS,Amerikas Savienotās Valstis,0,1342,6,0,671,6,20,8,4,1,10,8,3,3,110,26,42,28,209,109,1,70,7
LV_LVZZIN,Indija,0,13,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,4,3,0,0,0
LV_LVZZGB,Apvienotā Karaliste,0,4984,51,0,793,211,373,110,163,7,176,545,89,10,325,323,140,461,593,217,18,304,75
LV_LVZZAU,Austrālija,0,671,6,0,403,4,6,3,1,2,4,1,3,1,65,9,25,7,68,29,2,26,6
LV_LVZZAT,Austrija,0,268,2,0,85,4,4,5,8,0,12,6,2,1,19,15,7,6,61,7,1,19,4
LV_LVZZAE,Apvienotie Arābu Emirāti,0,83,0,0,26,0,2,0,1,1,5,2,0,0,3,3,1,6,13,12,0,7,1
LV_LVZZBY,Baltkrievija,0,28,0,0,4,0,1,0,0,0,0,7,1,0,3,4,1,2,1,1,0,3,0
LV_LVZZBE,Belģija,0,888,10,0,358,12,21,4,10,0,30,12,1,1,51,17,33,22,183,69,3,46,5
LV_LVZZCZ,Čehija,0,162,0,0,38,5,4,3,8,0,5,8,0,0,16,9,6,6,39,5,0,9,1
LV_LVZZDK,Dānija,0,985,8,0,223,11,78,18,15,3,20,31,13,1,75,36,29,76,171,65,6,82,24
LV_LVZZFR,Francija,0,398,1,0,132,8,8,2,9,0,11,7,0,0,26,15,12,11,79,38,2,35,2
LV_LVZZGR,Grieķija,0,139,2,0,47,1,4,0,2,0,0,1,0,0,6,6,3,6,35,6,1,15,4
LV_LVZZEE,Igaunija,0,439,3,0,116,6,14,6,12,3,13,15,3,1,41,18,12,12,94,29,1,35,5
LV_LVZZIT,Itālija,0,194,1,0,76,1,7,3,3,0,2,7,0,1,9,7,9,11,26,13,0,18,0
LV_LVZZIL,Izraēla,0,42,0,0,12,0,0,0,2,0,6,0,0,0,1,5,0,0,11,2,0,3,0
LV_LVZZJP,Japāna,0,15,0,0,5,0,0,0,1,0,0,1,0,0,3,0,1,0,4,0,0,0,0
LV_LVZZCA,Kanāda,0,537,4,0,298,6,5,2,0,0,5,11,0,0,35,13,19,4,75,30,0,22,8
LV_LVZZRU,Krievija,0,199,1,0,19,26,7,0,20,0,27,27,5,0,9,18,1,4,16,4,0,11,4
LV_LVZZCN,Ķīna,0,14,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
LV_LVZZLT,Lietuva,0,149,0,0,40,1,6,0,4,0,7,9,0,1,12,8,4,5,24,15,2,9,2
LV_LVZZNL,Nīderlande,0,1058,4,0,264,20,46,7,17,0,23,57,13,4,47,40,18,65,302,69,2,44,16
LV_LVZZNO,Norvēģija,0,1827,28,0,283,30,225,45,54,4,47,120,21,9,151,117,43,164,166,84,14,180,42
LV_LVZZPL,Polija,0,150,1,0,47,2,5,0,3,0,4,5,0,0,10,7,4,5,35,7,0,13,2
LV_LVZZIS,Islande,0,460,5,0,48,10,61,15,13,0,2,39,18,3,25,35,2,44,47,19,3,56,15
LV_LVZZES,Spānija,0,573,5,0,130,25,37,5,21,0,25,39,4,0,43,28,18,28,71,34,5,51,4
LV_LVZZFI,Somija,0,572,9,0,107,4,53,6,16,3,10,56,10,0,32,29,22,53,88,28,3,37,6
LV_LVZZCH,Šveice,0,436,0,0,151,10,18,3,13,1,11,22,0,0,22,21,12,28,68,31,0,22,3
LV_LVZZTR,Turcija,0,25,0,0,9,0,0,0,2,0,0,0,0,0,2,1,3,3,2,3,0,0,0
LV_LVZZUA,Ukraina,0,52,0,0,14,0,1,2,1,0,0,1,0,1,4,4,3,2,3,8,0,7,1
LV_LVZZDE,Vācija,0,2772,18,0,614,68,214,63,101,2,66,147,25,5,227,149,75,217,385,135,18,194,49
LV_LVZZSE,Zviedrija,0,1425,9,0,260,27,136,21,41,4,38,108,14,1,79,90,43,107,176,51,11,165,44
LV_LVZZKR,Dienvidkoreja,0,16,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,1,0
LV_LVZZIE,Īrija,0,1137,12,0,155,46,65,19,39,2,33,212,33,3,68,53,21,167,81,17,5,89,17
LV_LVZZAZ,Azerbaidžāna,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0
LV_LVZZGE,Gruzija,0,106,3,0,27,1,6,1,3,0,1,0,0,0,17,3,4,8,16,7,0,7,2
LV_LVZZKZ,Kazahstāna,0,13,0,0,5,0,2,0,0,0,1,0,0,0,0,2,0,0,1,0,0,2,0
LV_LVZZMD,Moldova,0,20,0,0,8,1,0,0,1,0,0,2,0,0,3,0,0,1,2,1,0,0,1
LV_LVZZUZ,Uzbekistāna,0,25,0,0,5,0,6,0,3,0,1,0,0,0,4,2,0,2,1,0,0,1,0
LV_LVZZHU,Ungārija,0,115,1,0,39,5,1,0,2,0,2,4,0,0,7,6,1,7,20,9,1,6,4
LV_LVZZEG,Ēģipte,0,12,0,0,4,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,0,2,0
LV_LVZZLU,Luksemburga,0,336,5,0,154,2,7,0,7,0,3,7,2,0,22,9,22,11,62,11,3,6,3
LV_LVZZXK,Kosova,0,129,4,0,23,0,10,2,0,0,1,1,0,0,18,3,8,2,6,21,0,27,3
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (AMERIKAS SAVIENOTĀS VALSTIS),0,394,82,0,174,1,2,1,0,0,3,2,0,2,40,2,10,10,30,28,0,6,1
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (AUSTRIJA),0,134,26,0,39,0,0,1,3,0,4,2,0,0,14,4,2,4,16,7,0,8,4
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (APVIENOTIE ARĀBU EMIRĀTI),0,10,3,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (BALTKRIEVIJA),0,16,9,0,0,0,0,0,0,0,3,1,0,0,0,2,0,1,0,0,0,0,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (DĀNIJA),0,33,6,0,10,0,0,0,1,0,0,0,0,0,0,0,1,0,10,2,0,3,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (FRANCIJA),0,245,90,0,63,2,3,1,2,0,3,2,0,0,18,5,6,3,25,9,0,9,4
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (JAPĀNA),0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (KANĀDA),0,70,6,0,44,0,0,0,0,0,0,0,0,0,9,1,2,0,3,3,0,1,1
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (APVIENOTĀ KARALISTE),0,575,175,0,102,3,9,3,8,0,17,89,3,0,35,6,8,26,67,11,0,9,4
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (NĪDERLANDE),0,150,30,0,30,0,5,0,7,0,3,6,0,0,10,2,4,1,39,9,0,3,1
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (NORVĒĢIJA),0,113,25,0,31,1,1,0,1,0,2,14,0,0,8,3,3,6,9,5,0,4,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (POLIJA),0,61,24,0,16,0,0,0,0,0,0,0,0,0,6,0,2,2,8,1,0,2,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (SPĀNIJA),0,181,62,0,42,5,2,1,0,0,2,13,0,0,4,4,6,2,24,8,0,6,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (SOMIJA),0,79,22,0,20,1,2,1,0,0,0,0,1,0,4,4,1,0,13,8,0,2,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (TURCIJA),0,185,121,0,26,2,2,0,4,0,2,2,0,0,1,4,0,3,8,1,0,8,1
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (VĀCIJA),0,334,69,0,93,2,2,1,6,0,9,17,3,0,22,7,10,8,55,20,1,4,5
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (ZVIEDRIJA),0,147,37,0,37,2,1,1,0,0,4,4,0,0,8,1,3,6,22,14,1,5,1
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (KOREJAS REPUBLIKA),0,28,8,0,10,0,0,0,0,0,2,0,0,0,0,1,0,0,2,2,0,3,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (ĪRIJA),0,198,37,0,13,3,2,0,11,0,10,94,6,0,2,2,1,6,4,3,0,4,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (KAZAHSTĀNA),0,5,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (ĒĢIPTE),0,30,10,0,3,0,2,0,0,1,0,0,0,0,4,0,0,1,1,4,0,4,0
LV_LVYY99,PASTA BALSOŠANAS KOMISIJA (AUSTRĀLIJA),0,106,43,0,44,0,0,0,0,0,0,0,0,0,5,1,4,1,1,6,0,1,0
LV_0004000,Jūrmala,36950,22632,86,0,4132,1186,2340,144,1036,42,1300,1545,299,28,2191,2038,546,719,1285,1277,73,1825,295
LV_0021000,Alūksnes novads,11841,7350,4,0,1661,89,1418,80,102,18,103,133,57,12,733,275,305,191,400,647,24,814,173
LV_0023000,Ādažu novads,15495,11465,15,0,2631,297,805,81,306,13,359,340,94,17,1036,650,359,441,708,743,20,2235,193
LV_0026000,Cēsu novads,34058,23676,31,0,6058,165,3289,337,244,37,272,191,78,63,2612,979,796,751,1551,2065,88,3193,513
LV_0029000,Gulbenes novads,16041,9165,29,0,1573,100,2075,76,158,16,137,126,71,22,881,437,374,266,386,909,30,1156,223
LV_0034000,Ķekavas novads,21577,16158,14,0,4215,306,1551,169,408,17,424,583,128,23,1745,842,562,531,1098,1047,42,2023,251
LV_0035000,Limbažu novads,23574,14927,22,0,3616,75,2388,210,112,24,147,101,65,31,1452,497,583,445,664,974,258,2782,258
LV_0038000,Madonas novads,23861,14972,24,0,3496,83,2302,274,166,28,170,169,108,25,1637,663,575,435,656,1432,82,2036,366
LV_0039000,Mārupes novads,22529,15851,14,0,4546,288,1024,111,449,15,455,497,103,27,1588,906,610,498,1198,1151,28,1997,189
LV_0040000,Ogres novads,44724,31097,58,0,7229,475,3302,287,580,44,611,808,222,74,4227,1645,1139,972,1961,2145,193,4073,631
LV_0041000,Olaines novads,12470,6965,5,0,1063,685,640,45,380,14,387,687,106,12,487,453,165,232,354,435,24,568,117
LV_0044000,Ropažu novads,22381,13853,31,0,2968,394,1220,101,473,27,599,903,146,22,1257,901,616,467,868,921,43,1477,242
LV_0045000,Salaspils novads,14587,8216,7,0,1819,359,615,36,428,6,390,956,128,9,566,568,225,249,451,391,17,758,158
