country,file,row_index,municipality_code,municipality_name,canonical_name,reason
LV,2022.csv,1,LV_LVZZ99,Ārzemes,Ārzemes,special_foreign_voter_lv
LV,2022.csv,2,LV_LVZZBR,Brazīlija,Brazīlija,special_foreign_voter_lv
LV,2022.csv,3,LV_LVZZUS,Amerikas Savienotās Valstis,Amerikas Savienotās Valstis,special_foreign_voter_lv
LV,2022.csv,5,LV_LVZZIN,Indija,Indija,special_foreign_voter_lv
LV,2022.csv,7,LV_LVZZGB,Apvienotā Karaliste,Apvienotā Karaliste,special_foreign_voter_lv
LV,2022.csv,13,LV_LVZZAU,Austrālija,Austrālija,special_foreign_voter_lv
LV,2022.csv,16,LV_LVZZAT,Austrija,Austrija,special_foreign_voter_lv
LV,2022.csv,17,LV_LVZZAE,Apvienotie Arābu Emirāti,Apvienotie Arābu Emirāti,special_foreign_voter_lv
LV,2022.csv,18,LV_LVZZBY,Baltkrievija,Baltkrievija,special_foreign_voter_lv
LV,2022.csv,19,LV_LVZZBE,Belģija,Belģija,special_foreign_voter_lv
LV,2022.csv,21,LV_LVZZCZ,Čehija,Čehija,special_foreign_voter_lv
LV,2022.csv,22,LV_LVZZDK,Dānija,Dānija,special_foreign_voter_lv
LV,2022.csv,23,LV_LVZZFR,Francija,Francija,special_foreign_voter_lv
LV,2022.csv,24,LV_LVZZGR,Grieķija,Grieķija,special_foreign_voter_lv
LV,2022.csv,25,LV_LVZZEE,Igaunija,Igaunija,special_foreign_voter_lv
LV,2022.csv,26,LV_LVZZIT,Itālija,Itālija,special_foreign_voter_lv
LV,2022.csv,27,LV_LVZZIL,Izraēla,Izraēla,special_foreign_voter_lv
LV,2022.csv,28,LV_LVZZJP,Japāna,Japāna,special_foreign_voter_lv
LV,2022.csv,29,LV_LVZZCA,Kanāda,Kanāda,special_foreign_voter_lv
LV,2022.csv,31,LV_LVZZRU,Krievija,Krievija,special_foreign_voter_lv
LV,2022.csv,34,LV_LVZZCN,Ķīna,Ķīna,special_foreign_voter_lv
LV,2022.csv,39,LV_LVZZLT,Lietuva,Lietuva,special_foreign_voter_lv
LV,2022.csv,40,LV_LVZZNL,Nīderlande,Nīderlande,special_foreign_voter_lv
LV,2022.csv,41,LV_LVZZNO,Norvēģija,Norvēģija,special_foreign_voter_lv
LV,2022.csv,42,LV_LVZZPL,Polija,Polija,special_foreign_voter_lv
LV,2022.csv,43,LV_LVZZIS,Islande,Islande,special_foreign_voter_lv
LV,2022.csv,44,LV_LVZZES,Spānija,Spānija,special_foreign_voter_lv
LV,2022.csv,45,LV_LVZZFI,Somija,Somija,special_foreign_voter_lv
