gisco_id,name,registered,turnout,invalid,blank,Alpha - Liberali Demokratiku,Alternattiva Demokratika - The Green Party,Azzjoni Nazzjonali,Forza Malta,Malta Labour Party,Partit Nazzjonalista,Independent Candidate,Imperium Europa,Gozitan Party
MT_01,DISTRICT 1,23361,21719,227,0,9,144,57,8,10688,10586,0,0,0
MT_02,DISTRICT 2,23933,22489,220,0,0,172,140,0,14847,7110,0,0,0
MT_03,DISTRICT 3,24574,23039,250,0,0,242,175,0,14237,8135,0,0,0
MT_04,DISTRICT 4,23548,22216,257,0,0,182,86,0,13508,8183,0,0,0
MT_05,DISTRICT 5,24204,22806,298,0,0,224,96,0,13571,8617,0,0,0
MT_06,DISTRICT 6,24253,22771,232,0,0,143,91,0,12090,10215,0,0,0
MT_07,DISTRICT 7,24607,23103,324,0,0,244,120,0,11528,10887,0,0,0
MT_08,DISTRICT 8,24168,22713,217,0,0,388,85,0,9309,12714,0,0,0
MT_09,DISTRICT 9,23831,22127,223,0,12,457,104,0,7928,13388,15,0,0
MT_10,DISTRICT 10,24006,22013,220,0,0,524,99,0,7390,13773,7,0,0
MT_11,DISTRICT 11,24705,23232,252,0,0,487,146,0,8209,14090,0,48,0
MT_12,DISTRICT 12,23976,21811,263,0,0,341,144,0,8398,12629,0,36,0
MT_13,DISTRICT 13,26191,24175,432,0,0,262,118,0,10185,13141,0,0,37
