gisco_id,name,registered,turnout,invalid,blank,PvdA,VVD,CDA,LPF,GL,D66,SP,LN,CU,Verenigde Senioren Partij,SGP,Vrije Indische Partij & OuderenUnie,Partij van de Toekomst,Duurzaam Nederland,Nieuwe Midden Partij,Republikeinse Volkspartij
NL_1680,Aa en Hunze,19445,16219,0,13,4411,3946,2606,1893,1138,938,757,246,157,62,26,13,6,5,2,0
NL_0738,Aalburg,8658,7484,0,3,416,656,2541,1067,138,116,215,81,655,7,1574,4,9,0,2,0
NL_0358,Aalsmeer,17280,14719,0,15,1486,3106,4590,2774,593,765,537,303,361,98,62,0,17,8,4,0
NL_0197,Aalten,13922,11656,0,12,1417,1088,5922,1119,607,400,469,136,398,39,30,6,9,3,3,0
NL_0305,Abcoude,6180,5585,0,5,625,1318,1564,845,334,410,264,79,80,14,42,3,3,3,0,0
NL_0059,Achtkarspelen,21343,17130,0,15,3025,1190,7188,2160,625,360,704,225,1363,30,213,0,23,7,2,0
NL_0482,Alblasserdam,13430,11155,0,11,1853,1155,2837,1929,327,309,498,145,711,36,1324,15,4,4,0,0
NL_0613,Albrandswaard,13760,11568,0,16,1228,2192,2988,3188,359,498,444,248,202,43,143,7,4,5,3,0
NL_0483,Alkemade,10733,9244,0,5,853,1637,3738,1558,445,403,351,177,25,18,14,2,11,2,5,0
NL_0361,Alkmaar,69192,54734,0,81,10041,8284,11079,8557,5736,3592,4850,1310,676,304,57,74,0,66,27,0
NL_0141,Almelo,52529,39894,0,42,7994,5015,12259,6081,2557,1652,2118,611,1050,200,132,105,25,50,3,0
NL_0034,Almere,109764,83890,0,95,13230,16279,13538,19340,6830,5081,4659,2374,1577,575,98,118,0,58,38,0
NL_0484,Alphen aan den Rijn,52995,42165,0,81,4912,8220,11436,7013,2854,2587,2211,689,1427,114,512,37,31,32,9,0
NL_1723,Alphen-Chaam,7078,6156,0,0,491,1069,2676,1014,260,255,269,71,13,23,2,2,6,3,2,0
NL_1679,Ambt Montfort,8550,6471,0,27,694,716,2766,1283,341,224,251,111,19,21,2,10,2,2,4,0
NL_0060,Ameland,2656,3046,0,0,502,499,1107,443,155,118,103,53,42,14,4,0,5,0,4,0
NL_0306,Amerongen,5429,4623,0,5,482,768,1373,772,177,196,160,52,202,15,415,2,3,2,0,0
NL_0307,Amersfoort,94305,75999,0,85,11290,13625,18018,9912,7072,4544,5353,1152,3862,204,697,94,46,45,0,0
NL_0362,Amstelveen,57505,48168,0,82,6899,11213,10639,7675,3614,3688,2657,740,521,294,95,0,26,17,8,0
NL_0363,Amsterdam,524756,372399,0,2614,86601,53243,38518,61185,48707,28349,40052,5052,3527,2212,352,939,243,523,282,0
NL_0364,Andijk,4745,4069,0,5,437,631,1343,727,204,153,209,76,214,16,49,2,0,2,2,0
NL_0199,Angerlo,3762,3192,0,10,490,509,1178,401,183,160,179,49,12,7,5,4,3,3,3,0
NL_0366,Anna Paulowna,10351,8446,0,3,933,1919,2556,1468,369,391,337,256,93,76,21,10,0,7,7,0
NL_0200,Apeldoorn,118243,94451,0,85,14673,15935,27139,13122,6709,5058,4482,1476,2686,284,2458,164,56,105,19,0
NL_0003,Appingedam,9772,7265,0,2,2074,792,1781,1020,397,352,382,136,262,33,15,12,5,5,5,0
NL_0885,Arcen en Velden,6636,5463,0,8,462,682,2786,761,268,186,193,70,15,21,5,4,4,4,0,0
NL_0202,Arnhem,106615,78498,0,322,14882,11416,15393,12036,9385,5091,6804,1112,1213,267,113,182,39,232,11,0
NL_0106,Assen,44929,35856,0,30,8394,5127,7713,3938,3052,1943,2258,426,2638,105,139,43,19,26,5,0
NL_0743,Asten,11926,9987,0,33,908,1380,4476,1536,528,344,533,166,14,39,4,6,19,0,4,0
NL_0650,Axel,8975,6922,0,28,917,905,2235,1256,315,239,220,116,550,33,94,0,5,7,2,0
