gisco_id,name,registered,turnout,invalid,blank,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),Democraten 66 (D66),PVV (Partij voor de Vrijheid),Christen Democratisch Appèl (CDA),GROENLINKS,Partij voor de Dieren,ChristenUnie,50PLUS,Staatkundig Gereformeerde Partij (SGP),Partij voor Mens en Spirit (MenS),Piratenpartij,SOPN,Democratisch Politiek Keerpunt DPK,Partij van de Toekomst (PvdT),Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD
NL_1680,Aa en Hunze,20373,16379,21,16,6063,4725,1300,1170,990,850,344,290,232,207,46,40,29,20,19,7,4,3,2,2,0
NL_0738,Aalburg,9474,7641,23,7,662,1778,409,183,834,856,49,102,851,104,1757,2,9,4,4,4,2,2,0,0,0
NL_0358,Aalsmeer,22193,17696,35,25,2646,8058,727,1326,1610,1495,218,306,633,354,134,24,38,19,18,22,5,0,3,0,0
NL_0197,Aalten,20804,15918,21,17,3728,3485,1918,888,1176,3059,258,196,710,263,93,26,29,23,8,9,3,5,3,0,0
NL_0059,Achtkarspelen,21458,15647,33,22,4622,2329,1351,433,1463,2760,133,165,1811,144,272,17,32,17,10,13,14,3,2,2,0
NL_0482,Alblasserdam,13960,11055,20,10,2406,2205,708,420,1070,923,101,158,1016,194,1761,4,28,4,5,11,6,3,3,3,0
NL_0613,Albrandswaard,18933,14259,27,20,2616,5293,922,922,1931,1048,190,315,345,290,205,31,37,19,12,11,4,18,2,2,0
NL_0361,Alkmaar,72284,54354,99,142,16567,12941,6181,4749,4795,2906,1701,1497,687,1310,79,189,218,99,60,49,37,8,19,21,0
NL_0141,Almelo,54264,37172,102,70,10744,8054,4161,2131,4657,3739,529,538,1192,686,181,77,106,74,50,29,17,12,12,11,0
NL_0034,Almere,137698,95130,279,199,27154,26928,9048,6163,13132,2576,1825,2258,1749,2307,259,200,465,197,114,138,49,24,30,36,0
NL_0484,Alphen aan den Rijn,54900,41788,81,94,9113,13639,3035,3606,3852,3231,860,820,1658,776,607,71,159,66,32,45,17,7,10,9,0
NL_1723,Alphen-Chaam,7461,5854,12,7,923,2249,547,383,486,878,82,83,15,131,4,18,8,7,6,8,2,2,0,3,0
NL_0060,Ameland,2699,3138,0,3,803,932,237,215,192,484,71,47,65,45,14,11,10,4,2,2,0,2,0,2,0
NL_0307,Amersfoort,108542,84763,162,171,21573,22517,6861,8831,6174,5481,3083,1703,5128,1320,914,196,297,136,53,55,56,18,16,18,0
NL_0362,Amstelveen,58658,46201,100,80,10779,16170,2969,5814,3214,2587,1188,1094,643,992,152,91,171,40,22,38,31,5,12,9,0
NL_0363,Amsterdam,560467,392013,1738,999,139820,75670,35899,59005,23696,8517,21079,12143,3126,5241,539,701,2064,539,183,434,279,68,135,76,62
NL_0200,Apeldoorn,122034,92282,156,124,24302,24117,7803,7407,7504,7810,1969,1773,3860,1676,2947,206,250,130,51,83,41,13,22,38,0
NL_0003,Appingedam,9627,6731,10,14,2670,991,870,277,615,633,84,99,281,110,18,5,20,18,4,4,0,4,4,6,0
