gisco_id,name,registered,turnout,invalid,blank,PVV (Partij voor de Vrijheid),GROENLINKS / Partij van de Arbeid (PvdA),VVD,Nieuw Sociaal Contract,BBB,D66,SP (Socialistische Partij),Partij voor de Dieren,CDA,Forum voor Democratie,ChristenUnie,Volt,JA21,BVNL / Groep Van Haga,50PLUS,Staatkundig Gereformeerde Partij (SGP),DENK,BIJ1,Piratenpartij - De Groenen,Samen voor Nederland,Splinter,LEF - Voor de Nieuwe Generatie,LP (Libertaire Partij),PartijvdSport,Nederland met een PLAN,Politieke Partij voor Basisinkomen
NL_1680,Aa en Hunze,21059,17918,21,33,3466,3207,2898,2836,1711,1005,624,448,444,314,245,245,112,85,60,43,42,21,16,15,14,9,4,0,0,0
NL_0358,Aalsmeer,23647,19602,35,30,4896,1866,4898,2411,661,1307,389,322,722,404,437,260,186,113,115,126,273,51,14,6,38,10,6,14,12,0
NL_0197,Aalten,21564,17781,16,19,3513,1851,2054,3286,2764,717,487,213,1269,292,546,136,122,101,62,114,110,18,12,42,18,11,7,0,7,0
NL_0059,Achtkarspelen,22141,17919,31,31,6157,1374,1225,3004,1337,341,393,176,1567,574,921,68,101,121,50,370,14,10,7,16,7,7,9,0,4,4
NL_0482,Alblasserdam,15131,12163,20,13,3031,1074,1392,1430,288,392,265,153,504,295,697,70,82,66,65,2005,256,21,5,6,15,5,0,5,8,0
NL_0613,Albrandswaard,20090,16092,30,21,4763,1593,3335,1908,378,861,399,324,651,385,227,197,191,91,92,176,348,64,4,9,19,4,7,9,9,0
NL_0361,Alkmaar,86329,66987,143,146,13867,13217,10422,7515,2526,5156,2703,2078,1601,2032,595,1267,535,456,499,124,1382,248,101,43,116,54,57,57,47,0
NL_0141,Almelo,56490,41037,150,61,12271,4060,4483,9306,1926,1459,1208,493,950,1144,695,366,207,191,155,228,1465,77,30,21,40,16,10,12,13,0
NL_0034,Almere,156188,105355,379,291,27773,15703,16578,12082,2721,5687,3974,2556,1206,3488,1477,1356,720,663,878,343,5152,1590,126,85,210,99,61,0,119,38
NL_0484,Alphen aan den Rijn,87064,69764,165,124,16067,8627,13147,8499,2734,4436,1907,1385,3018,1579,1829,1015,630,324,401,1772,1568,180,72,32,98,34,36,38,35,12
NL_1723,Alphen-Chaam,8292,6994,4,11,1690,616,1651,819,768,387,203,110,323,116,18,77,60,49,44,3,18,10,0,3,4,0,0,4,4,2
NL_1959,Altena,44211,36494,46,46,10588,2213,4603,4669,1764,976,801,419,2153,865,2007,239,286,200,158,4251,92,26,14,13,23,12,8,11,8,3
NL_0060,Ameland,2977,3290,5,6,608,460,530,545,457,179,66,59,166,39,52,52,22,14,13,2,2,2,5,3,2,2,0,0,2,0
NL_0307,Amersfoort,121150,99235,255,255,15525,21428,15049,10835,2092,8820,2875,2938,3079,1884,3976,2523,630,481,453,956,4202,441,90,44,145,60,83,47,51,18
NL_0362,Amstelveen,58073,45546,149,92,6997,9377,10338,4935,811,4391,1232,1245,1049,933,486,1156,283,214,237,121,903,305,50,35,58,31,26,40,52,0
NL_0363,Amsterdam,595930,422873,1650,864,40470,141976,49517,27787,4183,41418,13383,20059,3717,8672,4113,16062,1736,1447,1236,527,31609,9707,793,128,521,357,255,195,342,149
