gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Venstre,Høyre,Fremskrittspartiet,AML,Demokratene i Norge,Kristent Samlingsparti,Kystpartiet,Miljøpartiet De Grønne,Pensjonistpartiet,ES,Det Liberale Folkepartiet,Norges Kommunistiske Parti,NRA,SAMT,Samfunnspartiet,VIGRID,NPAT,SALL,TPF
NO_0101,Halden,21826,15907,0,0,6609,830,169,727,978,416,1963,3877,26,13,33,15,85,166,0,0,0,0,0,0,0,0,0,0
NO_0104,Moss,22187,16474,0,0,6383,1059,216,153,448,523,3219,4241,10,7,22,6,53,134,0,0,0,0,0,0,0,0,0,0
NO_0105,Sarpsborg,38705,28043,0,0,12453,944,120,908,1607,516,3389,7598,28,20,60,18,50,332,0,0,0,0,0,0,0,0,0,0
NO_0106,Fredrikstad,54754,40387,0,0,17234,1990,305,849,2138,1015,6159,9971,77,42,50,40,96,421,0,0,0,0,0,0,0,0,0,0
NO_0111,Hvaler,3196,2476,0,0,915,140,23,57,84,72,452,695,3,1,2,4,2,26,0,0,0,0,0,0,0,0,0,0
NO_0118,Aremark,1093,845,0,0,270,25,2,154,94,11,91,188,1,1,1,0,1,6,0,0,0,0,0,0,0,0,0,0
NO_0119,Marker,2710,2047,0,0,757,36,5,321,277,40,210,374,0,2,9,1,7,8,0,0,0,0,0,0,0,0,0,0
NO_0121,Rømskog,526,427,0,0,154,7,1,49,118,3,17,73,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0
NO_0122,Trøgstad,3832,2775,0,0,805,72,11,486,181,65,374,763,1,1,0,2,6,8,0,0,0,0,0,0,0,0,0,0
NO_0123,Spydeberg,3854,3008,0,0,873,117,13,404,235,90,477,772,1,0,4,1,3,18,0,0,0,0,0,0,0,0,0,0
NO_0124,Askim,10889,7786,0,0,2828,283,59,424,460,200,1250,2188,9,4,8,6,18,49,0,0,0,0,0,0,0,0,0,0
NO_0125,Eidsberg,7942,5673,0,0,1803,206,14,645,385,188,812,1560,3,3,12,7,9,26,0,0,0,0,0,0,0,0,0,0
NO_0127,Skiptvet,2543,1837,0,0,573,47,5,283,159,27,192,532,0,0,2,3,4,10,0,0,0,0,0,0,0,0,0,0
NO_0128,Rakkestad,5682,4069,0,0,1317,82,7,724,474,114,428,879,3,0,19,2,3,17,0,0,0,0,0,0,0,0,0,0
NO_0135,Råde,5183,4117,0,0,1287,116,19,312,359,99,648,1229,3,0,9,6,8,22,0,0,0,0,0,0,0,0,0,0
NO_0136,Rygge,10446,8022,0,0,2869,371,41,264,268,203,1588,2313,8,16,4,8,17,52,0,0,0,0,0,0,0,0,0,0
NO_0137,Våler (Østf.),3240,2503,0,0,684,70,12,268,150,49,406,832,3,0,7,6,5,11,0,0,0,0,0,0,0,0,0,0
NO_0138,Hobøl,3381,2592,0,0,799,106,19,222,174,108,366,768,1,0,6,4,6,13,0,0,0,0,0,0,0,0,0,0
NO_0211,Vestby,10020,8007,0,0,2708,530,71,347,230,363,1558,2107,0,4,5,4,33,45,2,0,0,0,0,0,0,0,0,0
NO_0213,Ski,19654,16003,0,0,5679,1063,161,431,542,713,3367,3823,0,13,15,12,47,133,4,0,0,0,0,0,0,0,0,0
NO_0214,Ås,10900,8798,0,0,2957,848,95,684,343,465,1504,1815,0,4,3,4,44,29,3,0,0,0,0,0,0,0,0,0
NO_0215,Frogn,10469,8691,0,0,2620,530,68,226,171,451,2262,2220,0,5,5,8,42,83,0,0,0,0,0,0,0,0,0,0
NO_0216,Nesodden,12024,9864,0,0,3225,1427,280,162,348,666,1716,1824,0,10,9,7,142,44,4,0,0,0,0,0,0,0,0,0
NO_0217,Oppegård,17739,14985,0,0,4720,938,119,172,563,790,4375,3173,0,3,6,1,63,60,2,0,0,0,0,0,0,0,0,0
