gisco_id,name,registered,turnout,invalid,blank,Arbeiderpartiet,SV - Sosialistisk Venstreparti,Rødt,Senterpartiet,Kristelig Folkeparti,Miljøpartiet De Grønne,Venstre,Høyre,Fremskrittspartiet,Alliansen - Alternativ for Norge,Demokratene,Folkeaksjonen Nei til mer bompenger,Helsepartiet,Industri- og Næringspartiet,Partiet De Kristne,Kystpartiet,Liberalistene,Norges Kommunistiske Parti,Piratpartiet,Pensjonistpartiet,Partiet Sentrum,Feministisk Initiativ,Generasjonspartiet,Redd Naturen,Pasientfokus
NO_0301,Oslo,485801,383078,149,1682,87158,50382,31352,11953,6922,32198,38142,89342,22784,232,2585,1072,593,234,474,64,665,123,336,1312,1367,275,0,0,0
NO_1101,Eigersund,10717,8327,25,59,1832,341,222,1099,650,142,226,1831,1574,7,81,5,9,58,28,0,10,0,9,37,23,0,0,0,0
NO_1103,Stavanger,98755,78308,131,445,19913,5299,4160,4225,3665,2697,3939,21345,9663,72,585,118,154,361,228,0,101,0,62,413,287,0,0,0,0
NO_1106,Haugesund,26775,20312,25,119,5285,1180,786,1162,813,578,804,5230,3262,16,260,9,44,219,80,0,47,0,29,213,32,0,0,0,0
NO_1108,Sandnes,53547,41326,118,296,9507,2028,1511,3408,3331,1003,1525,9429,7242,36,420,72,83,228,217,0,84,0,30,221,241,0,0,0,0
NO_1111,Sokndal,2409,1963,4,8,333,42,58,289,313,13,34,331,439,0,19,2,2,14,41,0,3,0,4,3,3,0,0,0,0
NO_1112,Lund,2330,1795,0,11,296,27,33,403,285,27,38,236,335,2,29,0,4,12,35,0,1,0,0,5,5,0,0,0,0
NO_1114,Bjerkreim,1940,1631,0,10,177,42,27,571,253,14,30,236,219,1,13,0,4,7,9,0,0,0,1,3,4,0,0,0,0
NO_1119,Hå,12632,10140,20,50,1397,258,204,2133,1706,100,122,1734,1992,6,103,12,10,27,125,0,19,0,7,40,25,0,0,0,0
NO_1120,Klepp,13559,10732,2,71,1754,418,262,1606,1242,134,206,2162,2448,10,122,12,11,44,60,0,16,0,6,38,37,0,0,0,0
NO_1121,Time,13536,11044,8,81,2151,622,229,1656,1163,181,283,2532,1709,7,91,9,16,42,80,0,29,0,6,39,29,0,0,0,0
NO_1122,Gjesdal,8056,6385,14,40,1403,265,172,945,790,118,113,1129,1125,3,80,7,17,27,37,0,20,0,0,17,23,0,0,0,0
NO_1124,Sola,18206,14616,6,94,2789,538,376,1187,946,273,519,4399,2922,8,126,32,38,94,44,0,25,0,7,58,41,0,0,0,0
NO_1127,Randaberg,8026,6572,16,45,1360,244,186,576,784,117,211,1751,1058,4,44,13,10,25,24,0,11,0,9,25,14,0,0,0,0
NO_1130,Strand,9265,7350,12,36,1380,251,249,936,1007,106,172,1537,1333,1,92,4,10,53,86,0,3,0,4,20,22,0,0,0,0
NO_1133,Hjelmeland,1751,1440,1,8,211,73,43,503,168,21,19,195,141,1,12,1,4,8,8,0,0,0,1,6,8,0,0,0,0
NO_1134,Suldal,2727,2263,3,8,417,132,102,827,202,41,39,226,192,2,15,1,4,11,12,0,3,0,1,5,12,0,0,0,0
NO_1135,Sauda,3408,2726,8,13,866,163,131,638,106,48,35,353,264,4,29,1,4,20,16,0,3,0,1,6,4,0,0,0,0
NO_1144,Kvitsøy,395,341,0,0,88,13,6,35,76,6,3,51,59,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
NO_1145,Bokn,650,562,0,7,101,14,8,187,22,4,4,108,79,0,10,0,2,3,2,0,1,0,0,1,2,0,0,0,0
NO_1146,Tysvær,7923,6436,9,29,1315,249,188,1156,442,102,151,1234,1216,5,107,3,16,68,45,0,8,0,3,38,23,0,0,0,0
