gisco_id,name,registered,turnout,invalid,blank,1 - SLD-UP,2 - AWSP,3 - UW,4 - Samoobrona,"5 - ""PiS""",6 - PSL,7 - PO,8 - ARS,9 - PWN,10 - LPR,11 - MnN,13 - PUG,14 - PPS,15 - NMnGŚl
PL_0201011,Bolesławiec,34097,16138,579,0,7986,542,909,967,1679,987,1427,60,0,1002,0,0,0,0
PL_0201022,Bolesławiec,8567,3350,190,0,1223,107,98,597,223,424,268,13,0,207,0,0,0,0
PL_0201032,Gromadka,4236,1681,109,0,699,41,49,192,105,254,105,9,0,118,0,0,0,0
PL_0201043,Nowogrodziec,10750,3853,232,0,1688,110,97,590,236,290,287,17,0,306,0,0,0,0
PL_0201052,Osiecznica,4817,1636,90,0,850,38,21,147,81,118,175,5,0,111,0,0,0,0
PL_0201062,Warta Bolesławiecka,5471,2092,153,0,932,57,37,327,122,176,142,6,0,140,0,0,0,0
PL_0202011,Bielawa,26650,11408,477,0,7176,548,214,756,420,193,1044,40,0,540,0,0,0,0
PL_0202021,Dzierżoniów,29627,13746,510,0,7776,511,428,914,693,292,1665,67,0,890,0,0,0,0
PL_0202031,Pieszyce,7767,3333,253,0,1657,86,41,241,88,208,341,6,0,412,0,0,0,0
PL_0202041,Piława Górna,5207,2252,149,0,996,60,38,213,58,225,316,10,0,187,0,0,0,0
PL_0202052,Dzierżoniów,7505,3261,198,0,1452,170,55,597,113,232,237,10,0,197,0,0,0,0
PL_0202062,Łagiewniki,5663,2745,200,0,745,47,34,416,41,574,531,11,0,146,0,0,0,0
PL_0202073,Niemcza,4942,2260,127,0,1182,70,54,243,81,152,185,27,0,139,0,0,0,0
PL_0203011,Głogów,56778,26593,1053,0,14152,1358,1426,2101,1704,716,2373,60,0,1650,0,0,0,0
PL_0203022,Głogów,3625,1645,103,0,674,71,42,228,68,105,195,2,0,157,0,0,0,0
PL_0203032,Jerzmanowa,2005,903,50,0,424,20,18,145,26,103,82,3,0,32,0,0,0,0
PL_0203042,Kotla,3022,1257,89,0,597,47,24,190,29,94,63,5,0,119,0,0,0,0
PL_0203052,Pęcław,1682,759,70,0,342,5,16,155,11,75,56,2,0,27,0,0,0,0
PL_0203062,Żukowice,2619,1021,56,0,405,22,17,171,25,232,41,4,0,48,0,0,0,0
PL_0204013,Góra,15830,6700,376,0,2878,312,125,1087,234,640,700,48,0,300,0,0,0,0
PL_0204022,Jemielno,2333,935,52,0,330,29,27,351,23,70,23,1,0,29,0,0,0,0
PL_0204032,Niechlów,3821,1600,108,0,627,63,40,379,128,126,78,7,0,44,0,0,0,0
PL_0204043,Wąsosz,5576,2181,160,0,982,54,47,407,78,197,165,9,0,82,0,0,0,0
PL_0205011,Jawor,19480,8653,367,0,4168,309,165,714,867,418,1042,21,0,582,0,0,0,0
PL_0205023,Bolków,8866,3767,171,0,1826,451,45,539,120,218,223,9,0,165,0,0,0,0
PL_0205032,Męcinka,3646,1367,57,0,541,48,11,272,88,200,65,4,0,81,0,0,0,0
PL_0205042,Mściwojów,3183,1527,63,0,600,15,13,255,33,368,58,5,0,117,0,0,0,0
PL_0205052,Paszowice,2953,1046,47,0,365,14,10,234,49,215,50,2,0,60,0,0,0,0
PL_0205062,Wądroże Wielkie,3129,1375,57,0,561,12,10,248,17,388,29,4,0,49,0,0,0,0
PL_0206011,Karpacz,4372,1914,73,0,987,45,92,121,208,57,251,7,0,73,0,0,0,0
PL_0206021,Kowary,9925,4260,188,0,2497,204,94,281,304,123,339,13,0,217,0,0,0,0
PL_0206031,Piechowice,5314,2350,93,0,1223,123,86,187,139,101,276,7,0,115,0,0,0,0
PL_0206041,Szklarska Poręba,6165,2748,95,0,1340,222,148,173,174,213,268,17,0,98,0,0,0,0
PL_0206052,Janowice Wielkie,3213,1276,66,0,710,37,47,111,95,56,112,2,0,40,0,0,0,0
PL_0206062,Jeżów Sudecki,4440,1734,64,0,832,90,37,126,170,125,193,10,0,87,0,0,0,0
PL_0206072,Mysłakowice,7671,2981,142,0,1489,82,82,271,250,167,353,10,0,135,0,0,0,0
PL_0206082,Podgórzyn,6152,2511,114,0,1222,84,90,218,173,142,300,9,0,159,0,0,0,0
PL_0206092,Stara Kamienica,3930,1501,62,0,754,43,29,150,82,165,177,7,0,32,0,0,0,0
PL_0207011,Kamienna Góra,18031,7720,309,0,4328,418,410,484,489,140,756,27,0,359,0,0,0,0
PL_0207022,Kamienna Góra,6310,2618,122,0,1268,92,60,253,217,150,275,6,0,175,0,0,0,0
PL_0207033,Lubawka,9406,4000,234,0,2317,175,71,386,159,148,330,23,0,157,0,0,0,0
PL_0207042,Marciszów,3719,1461,81,0,734,59,31,160,83,85,146,3,0,79,0,0,0,0
PL_0208011,Duszniki-Zdrój,4524,2036,84,0,990,196,83,184,88,67,243,12,0,89,0,0,0,0
PL_0208021,Kłodzko,24898,11130,471,0,4852,399,491,973,747,742,1368,55,0,1032,0,0,0,0
PL_0208031,Kudowa-Zdrój,8581,4097,219,0,1881,190,109,330,345,151,392,27,0,453,0,0,0,0
PL_0208041,Nowa Ruda,20767,9204,380,0,5458,353,337,754,349,184,840,91,0,458,0,0,0,0
PL_0208051,Polanica-Zdrój,5916,2690,144,0,1085,135,97,194,225,142,373,18,0,277,0,0,0,0
PL_0208063,Bystrzyca Kłodzka,16568,7884,431,0,2993,228,601,1542,348,505,604,45,0,587,0,0,0,0
PL_0208072,Kłodzko,13375,5546,377,0,1824,158,109,784,184,1394,363,38,0,315,0,0,0,0
PL_0208083,Lądek-Zdrój,7779,3353,206,0,1531,132,138,350,222,208,388,22,0,156,0,0,0,0
PL_0208092,Lewin Kłodzki,1560,586,33,0,220,81,12,81,22,44,61,2,0,30,0,0,0,0
PL_0208103,Międzylesie,6130,2611,171,0,1256,109,101,376,78,164,214,21,0,121,0,0,0,0
PL_0208112,Nowa Ruda,9896,3995,227,0,2192,154,99,463,125,204,315,27,0,189,0,0,0,0
PL_0208123,Radków,7311,2957,257,0,1211,148,52,402,128,177,309,20,0,253,0,0,0,0
PL_0208133,Stronie Śląskie,6091,2800,204,0,1569,60,78,227,116,185,271,11,0,79,0,0,0,0
PL_0208143,Szczytna,5851,2181,139,0,947,74,55,215,209,198,198,14,0,132,0,0,0,0
PL_0209011,Chojnów,10934,4722,240,0,2566,103,165,431,245,174,392,64,0,342,0,0,0,0
PL_0209022,Chojnów,7245,2981,172,0,1260,60,52,582,99,381,151,8,0,216,0,0,0,0
PL_0209032,Krotoszyce,2279,969,27,0,321,23,7,231,29,201,55,6,0,69,0,0,0,0
PL_0209042,Kunice,3520,1446,78,0,603,50,29,163,33,290,138,3,0,59,0,0,0,0
PL_0209052,Legnickie Pole,3789,1579,75,0,759,16,13,294,45,241,74,3,0,59,0,0,0,0
PL_0209062,Miłkowice,4820,2037,98,0,978,82,34,271,94,151,200,6,0,123,0,0,0,0
PL_0209073,Prochowice,5566,2284,117,0,892,71,33,261,109,491,187,4,0,119,0,0,0,0
