gisco_id,name,registered,turnout,invalid,blank,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
PL_1003021010101,Bolesławiec,28421,20667,370,0,869,2338,2035,5807,1254,7695,299,0,0,0,0,0
PL_1003021010102,Bolesławiec,11238,8178,154,0,354,1091,650,2687,662,2436,144,0,0,0,0,0
PL_1003021010103,Gromadka,4048,2697,86,0,77,210,208,1161,194,623,138,0,0,0,0,0
PL_1003021010104,Nowogrodziec,11166,7326,215,0,271,902,585,3056,652,1517,128,0,0,0,0,0
PL_1003021010105,Osiecznica,5162,3335,95,0,112,375,300,1133,301,946,73,0,0,0,0,0
PL_1003021010106,Warta Bolesławiecka,6359,4329,133,0,220,423,368,1621,362,1112,90,0,0,0,0,0
PL_1003021030201,Bielawa,21858,14779,257,0,255,1881,1381,4841,992,4930,242,0,0,0,0,0
PL_1003021030202,Dzierżoniów,23803,16892,273,0,234,1947,1245,5458,1107,6337,291,0,0,0,0,0
PL_1003021030203,Pieszyce,6930,4475,126,0,100,486,268,1583,325,1442,145,0,0,0,0,0
PL_1003021030204,Piława Górna,4527,2915,78,0,55,399,206,1126,215,789,47,0,0,0,0,0
PL_1003021030205,Dzierżoniów,7047,5044,131,0,81,514,252,1905,416,1644,101,0,0,0,0,0
PL_1003021030206,Łagiewniki,5806,4131,81,0,82,514,252,1873,333,949,47,0,0,0,0,0
PL_1003021030207,Niemcza,4071,2679,102,0,62,300,193,1079,194,720,29,0,0,0,0,0
PL_1003021020301,Głogów,47495,34883,548,0,677,3132,3235,12243,2011,12580,457,0,0,0,0,0
PL_1003021020302,Głogów,5293,4057,65,0,97,411,292,1608,280,1262,42,0,0,0,0,0
PL_1003021020303,Jerzmanowa,4147,3296,59,0,57,468,297,1107,240,1016,52,0,0,0,0,0
PL_1003021020304,Kotla,3311,2299,69,0,46,95,91,940,123,913,22,0,0,0,0,0
PL_1003021020305,Pęcław,1610,1109,36,0,29,155,47,565,76,192,9,0,0,0,0,0
PL_1003021020306,Żukowice,2554,1783,46,0,55,156,158,749,121,471,27,0,0,0,0,0
PL_1003021020401,Góra,14205,9321,178,0,392,1279,971,3265,585,2534,117,0,0,0,0,0
PL_1003021020402,Jemielno,2197,1406,46,0,51,141,146,682,104,202,34,0,0,0,0,0
PL_1003021020403,Niechlów,3530,2247,83,0,139,205,193,1122,166,296,43,0,0,0,0,0
PL_1003021020404,Wąsosz,5405,3562,137,0,124,406,313,1409,268,856,49,0,0,0,0,0
PL_1003021010501,Jawor,16564,11643,174,0,287,1060,1308,4459,614,3628,113,0,0,0,0,0
PL_1003021010502,Bolków,7678,4918,162,0,133,520,485,1842,299,1429,48,0,0,0,0,0
PL_1003021010503,Męcinka,3936,2811,56,0,63,277,218,1351,189,624,33,0,0,0,0,0
PL_1003021010504,Mściwojów,2994,2024,48,0,61,258,156,785,125,563,28,0,0,0,0,0
PL_1003021010505,Paszowice,3154,2183,43,0,54,276,194,903,165,520,28,0,0,0,0,0
PL_1003021010506,Wądroże Wielkie,3064,2091,47,0,46,405,146,799,137,486,25,0,0,0,0,0
PL_1003021010601,Karpacz,4996,3901,49,0,95,458,379,815,198,1864,43,0,0,0,0,0
PL_1003021010602,Kowary,7678,5218,83,0,112,556,521,1389,246,2129,182,0,0,0,0,0
PL_1003021010603,Piechowice,4519,3266,71,0,81,384,290,865,179,1340,56,0,0,0,0,0
PL_1003021010604,Szklarska Poręba,5515,4167,70,0,116,530,435,953,237,1761,65,0,0,0,0,0
PL_1003021010605,Janowice Wielkie,3291,2304,59,0,69,251,209,609,131,936,40,0,0,0,0,0
PL_1003021010606,Jeżów Sudecki,5847,4285,51,0,85,487,409,1028,222,1940,63,0,0,0,0,0
PL_1003021010607,Mysłakowice,7685,5508,113,0,132,656,487,1541,335,2162,82,0,0,0,0,0
PL_1003021010608,Podgórzyn,6471,4719,105,0,95,435,431,1100,251,2246,56,0,0,0,0,0
PL_1003021010609,Stara Kamienica,4047,2756,84,0,63,315,324,809,165,953,43,0,0,0,0,0
PL_1003021010701,Kamienna Góra,13564,9152,206,0,181,794,804,3039,450,3553,125,0,0,0,0,0
PL_1003021010702,Kamienna Góra,6662,4834,123,0,123,552,412,1662,288,1592,82,0,0,0,0,0
PL_1003021010703,Lubawka,8134,5687,146,0,167,586,584,1799,303,2022,80,0,0,0,0,0
PL_1003021010704,Marciszów,3364,2213,54,0,55,274,182,780,127,694,47,0,0,0,0,0
PL_1003021030801,Duszniki-Zdrój,3910,2898,49,0,59,290,238,926,149,1143,44,0,0,0,0,0
PL_1003021030802,Kłodzko,19773,13791,228,0,261,1693,1101,4175,729,5440,164,0,0,0,0,0
PL_1003021030803,Kudowa-Zdrój,8348,6229,112,0,115,674,462,2101,327,2340,98,0,0,0,0,0
PL_1003021030804,Nowa Ruda,15869,10232,130,0,214,912,709,3084,520,4472,191,0,0,0,0,0
PL_1003021030805,Polanica-Zdrój,5651,4161,78,0,117,527,341,1258,173,1605,62,0,0,0,0,0
PL_1003021030806,Bystrzyca Kłodzka,14065,9554,219,0,179,837,496,3466,471,3731,155,0,0,0,0,0
PL_1003021030807,Kłodzko,12758,8479,237,0,155,1739,425,3197,444,2162,120,0,0,0,0,0
