gisco_id,name,registered,turnout,invalid,blank,PPD/PSD ,PS ,CDS-PP ,PCP-PEV ,P.H. ,B.E. ,PCTP/MRPP ,PPM ,MPT ,POUS ,PNR ,B.E.-UDP 
PT_010101,Agadão,549,334,3,2,219,65,32,5,3,2,2,1,0,0,0,0
PT_010102,Aguada De Baixo,1486,879,15,6,437,186,209,11,5,5,1,2,2,0,0,0
PT_010103,Aguada De Cima,3296,1843,18,18,1055,493,195,29,1,20,5,3,6,0,0,0
PT_010104,Águeda,10009,5998,43,60,2593,2283,607,235,12,117,25,12,11,0,0,0
PT_010105,Barrô,1452,885,7,8,479,269,96,7,1,14,2,1,1,0,0,0
PT_010106,Belazaima Do Chão,511,339,1,3,169,136,24,4,0,0,0,1,1,0,0,0
PT_010120,Borralha,1770,1158,9,6,452,471,154,31,3,26,3,1,2,0,0,0
PT_010107,Castanheira Do Vouga,609,414,2,1,258,92,55,1,3,1,1,0,0,0,0,0
PT_010108,Espinhel,2430,1483,14,15,608,595,162,36,4,27,8,6,8,0,0,0
PT_010109,Fermentelos,2373,1710,17,13,1104,184,363,8,2,15,2,0,2,0,0,0
PT_010110,Lamas Do Vouga,708,428,3,1,195,179,36,10,0,1,1,0,2,0,0,0
PT_010111,Macieira De Alcoba,146,95,3,0,57,19,13,1,1,0,0,0,1,0,0,0
PT_010112,Macinhata Do Vouga,2913,1614,10,15,696,542,243,66,6,20,10,4,2,0,0,0
PT_010113,Óis Da Ribeira,621,457,2,4,216,147,64,9,1,8,2,2,2,0,0,0
PT_010114,Préstimo,901,517,6,10,273,94,94,27,2,9,1,1,0,0,0,0
PT_010115,Recardães,2379,1596,14,8,697,638,139,60,6,27,5,1,1,0,0,0
PT_010116,Segadães,739,473,4,1,191,163,97,11,2,3,1,0,0,0,0,0
PT_010117,Travassô,1437,936,12,10,461,292,127,11,2,14,1,3,3,0,0,0
PT_010118,Trofa,2377,1542,10,15,663,558,179,65,6,36,7,1,2,0,0,0
PT_010119,Valongo Do Vouga,4201,2504,24,23,1121,930,220,114,7,38,17,5,5,0,0,0
PT_010201,Albergaria-a-Velha,5857,3516,27,33,1630,984,694,52,3,72,14,2,5,0,0,0
PT_010202,Alquerubim,2012,1151,11,8,633,312,159,6,2,16,3,1,0,0,0,0
PT_010203,Angeja,1873,1203,10,8,461,412,227,63,5,13,1,1,2,0,0,0
PT_010204,Branca,4131,2696,13,23,1515,656,411,34,6,24,9,2,3,0,0,0
PT_010205,Frossos,801,530,4,2,233,127,152,4,2,5,0,0,1,0,0,0
PT_010206,Ribeira De Fráguas,1519,1057,7,12,489,274,239,13,4,13,2,2,2,0,0,0
PT_010207,São João De Loure,1776,1169,11,6,641,210,264,18,4,12,0,3,0,0,0,0
PT_010208,Valmaior,1675,1094,7,4,530,331,175,26,3,10,1,5,2,0,0,0
PT_010315,Aguim,1073,687,3,6,361,246,42,8,4,15,1,0,1,0,0,0
PT_010301,Amoreira Da Gândara,1144,726,6,10,427,146,124,5,3,3,1,0,1,0,0,0
PT_010302,Ancas,721,466,4,11,249,121,67,4,1,6,0,2,1,0,0,0
PT_010303,Arcos,4378,2740,17,42,1219,993,265,93,3,89,11,3,5,0,0,0
