gisco_id,registered,turnout,invalid,blank,PPD/PSD.CDS-PP.PPM,PS,CH,B.E.,IL,ADN,L,PAN,PCP-PEV,VP,E,JPP,R.I.R.,ND,PCTP/MRPP,MPT.A,NC,PTP,PPD/PSD.CDS-PP,PPM
PT_430101,848,461,3,13,199,158,56,10,9,4,4,3,1,1,0,0,0,0,0,0,0,0,0,0
PT_430102,3720,1720,19,31,599,624,196,85,47,13,33,36,29,2,1,0,5,0,0,0,0,0,0,0
PT_430103,2285,1210,14,33,438,447,136,28,46,5,22,21,18,0,0,2,0,0,0,0,0,0,0,0
PT_430104,3313,1887,10,35,862,577,162,80,70,8,39,22,20,1,0,1,0,0,0,0,0,0,0,0
PT_430105,1100,615,9,7,302,153,66,16,18,5,15,12,10,1,0,1,0,0,0,0,0,0,0,0
PT_430106,640,395,2,10,197,95,48,12,14,3,7,3,3,1,0,0,0,0,0,0,0,0,0,0
PT_430107,441,273,2,10,108,88,37,9,3,3,7,4,0,1,0,1,0,0,0,0,0,0,0,0
PT_430108,1256,729,11,12,337,202,78,24,24,10,14,8,3,2,1,3,0,0,0,0,0,0,0,0
PT_430109,2352,1089,11,33,452,369,130,34,22,8,12,6,10,1,0,0,1,0,0,0,0,0,0,0
PT_430110,954,519,3,19,223,179,52,15,9,5,8,2,2,1,0,1,0,0,0,0,0,0,0,0
PT_430111,492,265,0,11,114,97,23,8,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
PT_430112,2447,1384,15,26,655,444,145,23,29,9,18,13,3,1,0,2,1,0,0,0,0,0,0,0
PT_430113,1249,646,6,17,282,199,92,8,22,5,4,3,8,0,0,0,0,0,0,0,0,0,0,0
PT_430114,1800,954,13,27,400,273,124,30,34,7,22,10,9,2,1,2,0,0,0,0,0,0,0,0
PT_430115,1798,1002,8,25,386,389,108,28,20,12,11,8,6,0,0,1,0,0,0,0,0,0,0,0
PT_430116,3628,1740,20,32,687,570,217,73,45,13,23,24,30,2,0,2,2,0,0,0,0,0,0,0
PT_430117,344,165,0,6,65,58,24,4,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0
PT_430118,2652,1292,10,49,454,459,176,44,45,6,23,13,9,2,0,1,1,0,0,0,0,0,0,0
PT_430119,2127,983,5,18,445,300,124,21,37,10,6,7,8,0,1,1,0,0,0,0,0,0,0,0
PT_450101,1343,627,8,24,280,192,59,15,12,8,7,7,11,1,0,2,1,0,0,0,0,0,0,0
PT_450102,196,110,0,2,66,21,14,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
PT_450103,995,448,4,11,261,92,40,7,10,7,6,2,4,2,0,1,1,0,0,0,0,0,0,0
PT_450104,711,285,2,11,167,60,18,4,4,8,3,0,5,1,0,2,0,0,0,0,0,0,0,0
PT_450105,478,230,2,5,109,67,27,3,4,4,2,3,2,0,1,0,1,0,0,0,0,0,0,0
PT_490101,355,266,2,5,111,108,21,9,2,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0
PT_470101,488,262,3,10,92,97,27,8,4,1,4,5,11,0,0,0,0,0,0,0,0,0,0,0
PT_470102,1141,562,6,20,248,169,75,16,7,2,7,4,4,0,0,2,2,0,0,0,0,0,0,0
PT_470103,735,429,5,13,257,80,33,12,3,6,2,5,12,0,1,0,0,0,0,0,0,0,0,0
PT_470104,1592,762,9,31,291,250,89,22,23,5,16,9,13,0,1,0,3,0,0,0,0,0,0,0
PT_470105,1407,739,3,28,305,217,103,26,17,7,4,10,18,0,0,1,0,0,0,0,0,0,0,0
PT_470106,2083,1108,10,25,429,354,93,61,32,4,33,22,40,0,1,2,2,0,0,0,0,0,0,0
