gisco_id,name,registered,turnout,invalid,blank,M,C,FP,KD,S,V,MP,SD,FI,PP,SPI,JL,SJVP,ÖVR
SE_0114,Upplands-Väsby,26861,21553,6,333,7326,848,1907,1338,6501,1225,1093,531,94,166,53,71,19,42
SE_0115,Vallentuna,19413,16684,3,263,6911,1230,1447,1162,3435,553,1002,294,90,118,20,62,23,71
SE_0117,Österåker,26791,22910,5,325,9557,1261,2106,1658,5138,818,1254,410,105,126,31,61,19,36
SE_0120,Värmdö,24460,20975,5,345,8850,1126,1737,1283,4614,884,1326,438,145,90,9,69,16,38
SE_0123,Järfälla,45100,37749,18,575,12676,1518,3513,2522,11188,2091,2031,836,205,239,58,168,19,92
SE_0125,Ekerö,16984,15041,9,204,6625,1040,1529,1093,2535,483,980,212,118,73,16,90,11,23
SE_0126,Huddinge,60690,49212,16,735,17041,2056,4423,2992,14118,2781,2630,1297,410,333,61,134,47,138
SE_0127,Botkyrka,50211,38227,17,549,10180,1226,2890,2537,14465,2710,2030,839,241,254,30,108,28,123
SE_0128,Salem,9925,8484,4,94,2980,415,803,536,2412,343,490,215,47,65,7,28,11,34
SE_0136,Haninge,50933,41009,17,745,13128,1574,3171,2356,13395,2375,2199,913,220,304,68,156,48,340
SE_0138,Tyresö,28686,24536,11,412,9313,1174,2252,1431,6321,1176,1460,363,197,135,27,87,21,156
SE_0139,Upplands-Bro,15069,12327,5,217,3860,532,930,1012,3925,684,609,320,49,95,22,46,2,19
SE_0140,Nykvarn,5910,5010,2,103,1697,350,351,286,1597,139,203,140,17,23,7,14,9,72
SE_0160,Täby,44611,39202,6,353,20913,2011,4359,2909,5379,810,1469,411,180,142,49,151,13,47
SE_0162,Danderyd,22310,19748,5,86,11744,1242,2089,1848,1541,230,594,134,96,46,8,61,4,20
SE_0163,Sollentuna,42532,36512,8,414,14841,2152,3917,2749,7867,1478,1883,484,225,222,33,119,29,91
SE_0180,Stockholm,593334,489005,164,6386,169211,27257,48476,24327,111765,35616,45030,7912,6866,2516,644,1399,246,1190
SE_0181,Södertälje,56183,43549,15,614,11505,2304,3067,3109,15438,2403,2759,829,276,272,52,117,298,491
SE_0182,Nacka,57738,49591,11,558,21467,2810,5024,3075,9732,2126,3250,623,377,218,46,171,31,72
SE_0183,Sundbyberg,26158,21021,12,357,6907,944,1897,904,6146,1438,1446,443,205,135,48,70,19,50
SE_0184,Solna,48169,39725,14,594,14781,1998,4188,1996,9528,2343,2745,622,382,252,67,128,28,59
SE_0186,Lidingö,31371,27417,7,217,14386,1738,3241,2201,3135,598,1163,394,169,61,15,56,11,25
