gisco_id,name,registered,turnout,invalid,blank,Akacije,DeSUS,KDS,LDS,Lipa,LZ�PV,LPR,NPS,NSi,SDS,SLS+SMS,SNS,SD,SSN,ZARES,ZP,Zeleni
SI_1001,Jesenice,26884,15320,318,0,0,972,60,812,268,77,59,42,410,3672,271,724,6076,37,1432,25,65
SI_1002,Radovljica I,13886,8980,148,0,0,825,48,527,126,41,192,12,337,2662,155,475,2571,15,742,39,65
SI_1003,Radovljica II,15871,10397,193,0,0,729,42,1016,151,88,26,0,396,3052,146,602,2762,29,1045,26,94
SI_1004,Kranj I,20588,13306,210,0,0,878,41,504,215,82,94,13,464,3533,245,526,4817,15,1566,25,78
SI_1005,Kranj II,20625,13294,206,0,0,937,34,619,217,72,76,16,396,3730,319,609,4478,38,1452,29,66
SI_1006,Kranj III,22403,15724,308,0,0,952,55,428,188,110,35,16,585,6182,1429,857,3278,38,1147,32,84
SI_1007,Tr�i�,12829,8255,208,0,0,502,28,1471,98,38,22,18,203,2570,101,340,2038,13,546,24,35
SI_1008,�kofja Loka I,18336,12774,217,0,0,764,108,497,174,64,99,13,809,4252,473,475,3367,24,1366,23,49
SI_1009,�kofja Loka II,14951,10426,179,0,0,385,61,224,100,45,18,4,605,4184,1679,426,1964,16,476,18,42
SI_1010,Kamnik,26919,18376,298,0,0,1574,54,921,265,133,23,0,1452,5266,420,966,5273,24,1581,46,80
SI_1011,Idrija,14048,9023,206,0,0,375,27,328,127,46,21,0,273,2960,846,405,2976,24,358,16,35
SI_2001,Tolmin,17088,11073,230,0,13,977,77,268,93,15,12,0,495,4164,985,425,2601,48,602,11,57
SI_2002,Piran,14907,8188,148,0,14,585,25,408,152,60,30,0,143,1526,108,250,3757,17,903,6,56
SI_2003,Izola,12818,7530,124,0,11,526,19,288,151,30,47,0,57,1409,70,264,3379,15,1061,21,58
SI_2004,Koper I,18989,10660,216,0,67,812,31,554,201,43,48,0,180,1853,131,288,4847,10,1265,25,89
SI_2005,Koper II,23024,13170,253,0,36,710,54,585,239,61,37,0,279,2997,306,907,4984,28,1538,61,95
SI_2006,Se�ana,21050,13271,253,0,19,1020,53,848,241,41,113,0,192,2952,229,1268,4929,26,940,49,98
SI_2007,Ilirska Bistrica,13183,7369,229,0,7,563,93,142,57,23,14,0,141,2243,479,550,2147,14,611,39,17
SI_2008,Postojna,17616,10960,220,0,17,794,32,364,183,31,25,0,238,3417,623,387,3595,17,905,59,53
SI_2009,Nova Gorica I,25598,16380,272,0,23,1139,76,703,249,25,42,0,562,5110,367,701,6314,25,695,13,64
SI_2010,Nova Gorica II,24778,16419,256,0,35,765,91,507,177,43,92,0,334,3652,166,604,8379,35,1195,33,55
SI_2011,Ajdov��ina,19908,12981,257,0,7,618,96,304,521,48,17,0,836,5261,255,433,3290,18,950,19,51
SI_3001,Cerknica- Logatec,23522,16081,275,0,0,644,271,479,206,84,27,17,1128,5082,664,767,5159,32,1158,20,68
SI_3002,Vrhnika,18582,13253,196,0,0,853,49,552,179,73,57,9,422,3957,338,637,4544,21,1270,19,77
SI_3003,LJ-Vi�- Rudnik I,21966,15237,245,0,0,763,44,681,211,76,30,12,740,4937,788,840,4433,40,1311,17,69
SI_3004,LJ-Vi�- Rudnik II,15917,10773,106,0,0,542,56,459,191,47,19,17,278,2986,110,374,4244,24,1230,35,55
SI_3005,LJ-Vi�- Rudnik III,16277,11506,118,0,0,598,28,622,191,69,16,5,273,2628,122,333,4909,7,1475,54,58
SI_3006,LJ-Vi�- Rudnik IV,20122,14290,185,0,0,630,40,514,242,93,29,15,1104,4652,196,532,4664,24,1277,27,66
SI_3007,LJ-Center,21887,14339,156,0,0,544,46,682,178,89,16,21,637,2899,170,322,6892,33,1535,32,87
SI_3008,LJ-�i�ka I,15046,10323,104,0,0,509,34,904,242,38,20,9,230,1938,77,284,4634,26,1198,21,55
SI_3009,LJ-�i�ka II,17473,12392,112,0,0,634,31,613,199,58,16,14,303,2536,82,291,5700,10,1707,26,60
SI_3010,LJ-�i�ka III,17313,12183,109,0,0,559,45,535,241,69,19,10,370,3012,96,404,5203,21,1393,35,62
SI_3011,LJ-�i�ka IV,20387,14606,226,0,0,733,175,563,272,78,28,27,520,4235,600,629,4839,33,1529,40,79
