name_native,name_english,abbreviation,coalition_members,other_names,individual_candidate,region,founded_year,dissolved_year,european_party,ep_group,colors,wikipedia_page,wikidata_id,party_facts_id,aliases_in_files,ideology
Europa anders – ANDERS,ANDERS,ANDERS,"[""KPÖ"", ""PIRAT"", ""WANDL""]",,,AT,2014.0,2014.0,[],[],"[""#6A0C5A"", ""#FF0000"", ""#FFFF00""]",https://de.wikipedia.org/wiki/Europa_anders,Q15763190,,"[{""party_name"": ""ANDERS"", ""file"": ""blue_db/EU_AT/2014.csv""}]",radical left
Die GELBEN,The YELLOWS,BGE,[],,,AT,,,[],[],[],,,,"[{""party_name"": ""BGE"", ""file"": ""blue_db/AT/2024.csv""}]",other
Die Bierpartei,Beer Party,BIER,[],,,AT,2015.0,2025.0,[],[],"[""#FFD700"", ""#004D9F"", ""#FFFF00""]",https://de.wikipedia.org/wiki/Die_Bierpartei,Q88487372,,"[{""party_name"": ""BIER"", ""file"": ""blue_db/AT/2024.csv""}, {""party_name"": ""BIER"", ""file"": ""blue_db/AT/2019.csv""}]",other
Bündnis Zukunft Österreich,Alliance for the Future of Austria,BZÖ,[],,,AT,2005.0,2013.0,[],[],"[""#FFA500""]",https://de.wikipedia.org/wiki/Bündnis_Zukunft_Österreich,Q653833,599.0,"[{""party_name"": ""BZÖ"", ""file"": ""blue_db/AT/2013.csv""}, {""party_name"": ""BZÖ"", ""file"": ""blue_db/AT/2008.csv""}, {""party_name"": ""BZÖ"", ""file"": ""blue_db/EU_AT/2009.csv""}, {""party_name"": ""BZÖ"", ""file"": ""blue_db/AT/2006.csv""}, {""party_name"": ""BZÖ"", ""file"": ""blue_db/EU_AT/2014.csv""}, {""party_name"": ""BZÖ"", ""file"": ""blue_db/AT/2019.csv""}]",radical right
Christliche Partei Österreichs,Christian Party of Austria,CPÖ,[],"[{""name_native"": ""Die Christen"", ""abbreviation"": ""DC""}]",,AT,2005.0,,[],[],"[""#FF0000"", ""#FFFFFF""]",https://de.wikipedia.org/wiki/Christliche_Partei_%C3%96sterreichs,Q578350,,"[{""party_name"": ""CPÖ"", ""file"": ""blue_db/AT/2019.csv""}, {""party_name"": ""CPÖ"", ""file"": ""blue_db/AT/2013.csv""}, {""party_name"": ""CPÖ"", ""file"": ""blue_db/AT/2017.csv""}, {""party_name"": ""DC"", ""file"": ""blue_db/AT/2008.csv""}]",radical right
Christliche Wählergemeinschaft,Christian Voter Community,CWG,[],,,AT,1989.0,,[],[],[],https://de.wikipedia.org/wiki/Christliche_Wählergemeinschaft,Q876085,,"[{""party_name"": ""CWG"", ""file"": ""blue_db/AT/2008.csv""}, {""party_name"": ""CWG"", ""file"": ""blue_db/AT/2002.csv""}]",radical right
Die Demokraten,The Democrats,DEMOKRATEN,[],,,AT,1991.0,2002.0,[],[],[],https://de.wikipedia.org/wiki/Die_Demokraten,Q1211949,,"[{""party_name"": ""DEMOKRATEN"", ""file"": ""blue_db/AT/2002.csv""}, {""party_name"": ""DEMOKRATEN"", ""file"": ""blue_db/AT/2008.csv""}]",radical right
DNA – Demokratisch – Neutral – Authentisch,DNA – Democratic – Neutral – Authentic,DNA,[],,,AT,2024.0,,[],[],"[""#000080"", ""#CE1719""]",https://de.wikipedia.org/wiki/DNA_-_Demokratisch_-_Neutral_-_Authentisch,Q126373310,,"[{""party_name"": ""DNA"", ""file"": ""blue_db/EU_AT/2024.csv""}]",radical right
Die Unabhängigen – Liste Lugner,The Independents,DU,[],,,AT,1998.0,1999.0,[],[],[],https://de.wikipedia.org/wiki/Die_Unabhängigen_(Österreich),Q8934466,1500.0,"[{""party_name"": ""ODP"", ""file"": ""blue_db/AT/2017.csv""}]",other
EU-Austrittspartei für Österreich,EU Withdrawal Party,EUAUS,[],,,AT,2011.0,2019.0,[],[],[],https://de.wikipedia.org/wiki/EU-Austrittspartei,Q15807050,,"[{""party_name"": ""EUAUS"", ""file"": ""blue_db/AT/2013.csv""}, {""party_name"": ""EUAUS"", ""file"": ""blue_db/AT/2017.csv""}]",radical right
EUSTOP,EUSTOP,EUSTOP,"[""EUAUS"", ""NFÖ""]",,,AT,,,[],[],[],https://de.wikipedia.org/wiki/EUSTOP,,,"[{""party_name"": ""EUSTOP"", ""file"": ""blue_db/EU_AT/2014.csv""}]",radical right
