party_id,european_party_key,name_native,name_english,abbreviation,other_names,region,founded_year,dissolved_year,ep_group,colors,wikipedia_page,wikidata_id,ideology
EPP,European People's Party (EPP),European People's Party,European People's Party,EPP,,EU,1976,,"[{""date_start"": null, ""date_end"": null, ""group"": ""European People's Party (-European Democrats)""}]","[""#3399FF""]",https://en.wikipedia.org/wiki/European_People%27s_Party,Q208242,"center, center-right or moderate right"
PES,Party of European Socialists (PES),Party of European Socialists,Party of European Socialists,PES,,EU,1992,,"[{""date_start"": null, ""date_end"": null, ""group"": ""Party of European Socialists, S&D""}]","[""#F0001C""]",https://en.wikipedia.org/wiki/Party_of_European_Socialists,Q220945,"left or center-left, including non-radical greens"
ALDE,Alliance of Liberals and Democrats for Europe Party (ALDE),Alliance of Liberals and Democrats for Europe Party,Alliance of Liberals and Democrats for Europe Party,ALDE,"[{""name_native"": ""European Liberal Democrat and Reform Party Group"", ""abbreviation"": ""ELDR""}]",EU,1976,,"[{""date_start"": null, ""date_end"": null, ""group"": ""ALDE, Renew Europe""}]","[""#FFD700""]",https://en.wikipedia.org/wiki/Alliance_of_Liberals_and_Democrats_for_Europe_Party,Q25079,"center, center-right or moderate right"
EGP,European Green Party (EGP),European Green Party,European Green Party,EGP,,EU,2004,,"[{""date_start"": null, ""date_end"": null, ""group"": ""Greens/EFA""}]","[""#57B45F""]",https://en.wikipedia.org/wiki/European_Green_Party,Q950179,"left or center-left, including non-radical greens"
PEL,Party of the European Left (EL),Party of the European Left,Party of the European Left,PEL,,EU,2004,,"[{""date_start"": null, ""date_end"": null, ""group"": ""EUL/NGL, GUE/NGL""}]","[""#AA0000""]",https://en.wikipedia.org/wiki/Party_of_the_European_Left,Q202649,radical left
ECR,European Conservatives and Reformists Party (ECR),European Conservatives and Reformists Party,European Conservatives and Reformists Party,ECR,"[{""name_native"": ""Alliance of Conservatives and Reformists in Europe"", ""abbreviation"": ""ACRE""}, {""name_native"": ""Alliance of European Conservatives and Reformists"", ""abbreviation"": ""AECR""}]",EU,2009,,"[{""date_start"": null, ""date_end"": null, ""group"": ""European Conservatives and Reformists""}]","[""#19C6A8""]",https://en.wikipedia.org/wiki/European_Conservatives_and_Reformists_Party,Q1889223,radical right
EFA,European Free Alliance (EFA),European Free Alliance,European Free Alliance,EFA,,EU,1981,,"[{""date_start"": null, ""date_end"": null, ""group"": ""Greens/EFA""}]","[""#671B88""]",https://en.wikipedia.org/wiki/European_Free_Alliance,Q639383,other
EDP,European Democratic Party (EDP),European Democratic Party,European Democratic Party,EDP,,EU,2004,,"[{""date_start"": null, ""date_end"":  ""2009"", ""group"": ""European People's Party (-European Democrats)""}, {""date_start"": ""2009"", ""date_end"":  null, ""group"": ""ALDE, Renew Europe""}]","[""#E9521C""]",https://en.wikipedia.org/wiki/European_Democratic_Party,Q734792,"center, center-right or moderate right"
Patriots.eu,Patriots.eu,Patriots.eu,Patriots.eu,Patriots.eu,"[{""name_native"": ""Identity and Democracy Party"", ""abbreviation"": ""ID""}, {""name_native"": ""Movement for a Europe of Nations and Freedom"", ""abbreviation"": ""MENF""}]",EU,2014,,"[{""date_start"": null, ""date_end"": null, ""group"": ""Europe of Nations and Freedom, Identity and Democracy, Patriots for Europe""}]","[""#253082""]",https://en.wikipedia.org/wiki/Patriots_for_Europe,Q18907386,radical right
ECPP,European Christian Political Party (ECPM),European Christian Political Party,European Christian Political Party,ECPP,"[{""name_native"": ""European Christian Political Movement"", ""abbreviation"": ""ECPM""}]",EU,2002,,[],"[""#3055D4""]",https://en.wikipedia.org/wiki/European_Christian_Political_Movement,Q1377279,"center, center-right or moderate right"
APF,Alliance for Peace and Freedom (APF),Alliance for Peace and Freedom,Alliance for Peace and Freedom,APF,,EU,2015,2018,"[{""date_start"": null, ""date_end"": null, ""group"": ""Non-Inscrits (non-attached members)""}]","[""#000000""]",https://en.wikipedia.org/wiki/Alliance_for_Peace_and_Freedom,Q19834410,radical right
AENM,Alliance of European National Movements (AENM),Alliance of European National Movements,Alliance of European National Movements,AENM,,EU,2009,2018,"[{""date_start"": null, ""date_end"": null, ""group"": ""Non-Inscrits (non-attached members)""}]","[""#644117""]",https://en.wikipedia.org/wiki/Alliance_of_European_National_Movements,Q368067,radical right
ESN,Europe of Sovereign Nations (ESN),Europe of Sovereign Nations,Europe of Sovereign Nations,ESN,,EU,2024,,"[{""date_start"": null, ""date_end"": null, ""group"": ""Europe of Sovereign Nations""}]","[""#13517E""]",https://en.wikipedia.org/wiki/Europe_of_Sovereign_Nations,Q130269264,radical right
ELA,European Left Alliance for the People and the Planet (ELA),European Left Alliance for the People and the Planet,European Left Alliance for the People and the Planet,ELA,,EU,2024,,"[{""date_start"": null, ""date_end"": null, ""group"": ""EUL/NGL, GUE/NGL""}]","[""#665199""]",https://en.wikipedia.org/wiki/European_Left_Alliance_for_the_People_and_the_Planet,Q130219314,radical left
