id,gisco_id,name_or,level,start_date,end_date,predecessors,parent,names
AT1,AT1,Ostösterreich,NUTS 1,,,,AT,
AT2,AT2,Südösterreich,NUTS 1,,,,AT,
AT3,AT3,Westösterreich,NUTS 1,,,,AT,
BE1,BE1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,NUTS 1,,,,BE,
BE2,BE2,Vlaams Gewest,NUTS 1,,,,BE,
BE3,BE3,Région Wallonne,NUTS 1,,,,BE,
BG3,BG3,Северна и Югоизточна България,NUTS 1,,,,BG,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Severna i Iztochna Bulgaria""}]"
BG4,BG4,Югозападна и Южна централна България,NUTS 1,,,,BG,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Yugozapadna i Yuzhna Centralna Bulgaria""}]"
CH0,CH0,Schweiz/Suisse/Svizzera,NUTS 1,,,,CH,
CY0,CY0,Κύπρος,NUTS 1,,,,CY,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Kypros""}]"
CZ0,CZ0,Česko,NUTS 1,,,,CZ,"[{""start_date"": """", ""end_date"": ""2021-01-01"", ""name"": ""Česká Republika""}]"
DE1,DE1,Baden-Württemberg,NUTS 1,,,,DE,
DE2,DE2,Bayern,NUTS 1,,,,DE,
DE3,DE3,Berlin,NUTS 1,,,,DE,
DE4,DE4,Brandenburg,NUTS 1,,,,DE,
DE5,DE5,Bremen,NUTS 1,,,,DE,
DE6,DE6,Hamburg,NUTS 1,,,,DE,
DE7,DE7,Hessen,NUTS 1,,,,DE,
DE8,DE8,Mecklenburg-Vorpommern,NUTS 1,,,,DE,
DE9,DE9,Niedersachsen,NUTS 1,,,,DE,
DEA,DEA,Nordrhein-Westfalen,NUTS 1,,,,DE,
DEB,DEB,Rheinland-Pfalz,NUTS 1,,,,DE,
DEC,DEC,Saarland,NUTS 1,,,,DE,
DED,DED,Sachsen,NUTS 1,,,,DE,
DEE,DEE,Sachsen-Anhalt,NUTS 1,,,,DE,
DEF,DEF,Schleswig-Holstein,NUTS 1,,,,DE,
DEG,DEG,Thüringen,NUTS 1,,,,DE,
DK0,DK0,Danmark,NUTS 1,,,,DK,
EE0,EE0,Eesti,NUTS 1,,,,EE,
EL1,EL1,Βορεια Ελλαδα,NUTS 1,,2015-01-01,,EL,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Voreia Ellada""}]"
EL2,EL2,Κεντρικη Ελλαδα,NUTS 1,,2015-01-01,,EL,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Kentriki Ellada""}]"
EL3,EL3,Attikη,NUTS 1,,,,EL,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Attiki""}]"
EL4,EL4,"Nησια Αιγαιου, Kρητη",NUTS 1,,,,EL,"[{""start_date"": """", ""end_date"": ""2008-01-01"", ""name"": ""Nisia Aigaiou, Kriti""}, {""start_date"": ""2008-01-01"", ""end_date"": ""2012-01-01"", ""name"": ""Nησια Αιγαιου, Kρητη""}, {""start_date"": ""2012-01-01"", ""end_date"": ""2015-01-01"", ""name"": ""Νήσοι Αιγαίου, Κρήτη""}]"
ES1,ES1,Noroeste,NUTS 1,,,,ES,
ES2,ES2,Noreste,NUTS 1,,,,ES,
